ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-11,1.6080999999999999
2011-03-14,-0.9086
2011-03-15,-2.4361
2011-03-16,-1.2789
2011-03-17,0.4627
2011-03-18,0.2763
2011-03-21,3.4905
2011-03-22,-1.0651
2011-03-23,0.3589
2011-03-24,1.0131000000000001
2011-03-25,0.413
2011-03-28,0.4113
2011-03-29,0.9947
2011-03-30,1.4484
2011-03-31,0.2856
2011-04-01,2.2779
2011-04-04,0.3341
2011-04-05,-1.3873
2011-04-06,-1.1818
2011-04-07,-1.5375999999999999
2011-04-08,-0.694
2011-04-11,0.5242
2011-04-12,-0.8691
2011-04-13,0.526
2011-04-14,-1.2209
2011-04-15,2.2955
2011-04-18,-2.2727
2011-04-19,-0.6771
2011-04-20,2.4896
2011-04-21,1.0989
2011-04-25,-0.1144
2011-04-26,1.4891
2011-04-27,0.1693
2011-04-28,1.5211000000000001
2011-04-29,-1.1099
2011-05-02,0.1122
2011-05-03,-1.6816
2011-05-04,-1.0832
2011-05-05,-0.0576
2011-05-06,0.9804
2011-05-09,-0.2856
2011-05-10,1.8900000000000001
2011-05-11,-1.6301
2011-05-12,0.1143
2011-05-13,-0.3995
2011-05-16,-1.3181
2011-05-17,0.0581
2011-05-18,1.567
2011-05-19,1.1429
2011-05-20,-1.1864
2011-05-23,-2.3442
2011-05-24,-0.1171
2011-05-25,0.7034
2011-05-26,2.6775
2011-05-27,1.9274
2011-05-31,2.0022
2011-06-01,-3.8712999999999997
2011-06-02,-0.3403
2011-06-03,-2.2197
2011-06-06,-0.9895
2011-06-07,-1.5873
2011-06-08,-0.4182
2011-06-09,0.7798
2011-06-10,-2.5595
2011-06-13,-0.733
2011-06-14,0.7385
2011-06-15,-0.8552
2011-06-16,-1.0474
2011-06-17,-0.0623
2011-06-20,0.8723
2011-06-21,2.7795
2011-06-22,0.4207
2011-06-23,-0.5386
2011-06-24,0.6619
2011-06-27,1.1357
2011-06-28,1.5070999999999999
2011-06-29,1.2518
2011-06-30,1.7826
2011-07-01,2.0339
2011-07-05,0.3876
2011-07-06,-3.6404
2011-07-07,-0.229
2011-07-08,-3.9013
2011-07-11,-7.5821
2011-07-12,-0.8398
2011-07-13,3.7785
2011-07-14,-3.1073
2011-07-15,1.3282
2011-07-18,-4.3159
2011-07-19,5.5797
2011-07-20,0.8228
2011-07-21,3.4526
2011-07-22,-0.3641
2011-07-25,-1.3397999999999999
2011-07-26,-0.3704
2011-07-27,-0.8674
2011-07-28,0.6875
2011-07-29,-0.5587
2011-08-01,0.4994
2011-08-02,-5.0311
2011-08-03,2.0929
2011-08-04,-6.7265
2011-08-05,0.7555
2011-08-08,-7.1575
2011-08-09,6.8282
2011-08-10,-5.7732
2011-08-11,18.089
2011-08-12,0.2471
2011-08-15,4.2206
2011-08-16,1.3302
2011-08-17,-0.6418
2011-08-18,-4.9325
2011-08-19,-3.8913
2011-08-22,-0.3213
2011-08-23,5.5448
2011-08-24,2.8711
2011-08-25,-1.9299
2011-08-26,2.1496
2011-08-29,2.6971
2011-08-30,-1.0678
2011-08-31,0.7585
2011-09-01,-2.4899
2011-09-02,-3.3848
2011-09-06,0.4302
2011-09-07,1.8359999999999999
2011-09-08,-1.863
