ticker,AAP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-12,-0.5495
2007-01-16,0.0
2007-01-17,0.4144
2007-01-18,1.7330999999999999
2007-01-19,0.8653
2007-01-22,-0.6434
2007-01-23,0.9984
2007-01-24,0.6946
2007-01-25,-1.1409
2007-01-26,0.6173
2007-01-29,-0.5068
2007-01-30,-0.6434
2007-01-31,2.4015
2007-02-01,-1.1594
2007-02-02,-0.0533
2007-02-05,0.08
2007-02-06,1.1994
2007-02-07,0.9481
2007-02-08,1.0436
2007-02-09,-0.5422
2007-02-12,-2.6999
2007-02-13,0.0534
2007-02-14,-1.28
2007-02-15,4.6731
2007-02-16,-0.2581
2007-02-20,-1.6040999999999999
2007-02-21,0.7363
2007-02-22,0.1827
2007-02-23,0.3908
2007-02-26,0.5191
2007-02-27,-3.15
2007-02-28,0.3732
2007-03-01,-1.9655
2007-03-02,-1.7069
2007-03-05,-0.0827
2007-03-06,3.2
2007-03-07,1.2563
2007-03-08,1.3992
2007-03-09,-0.7029
2007-03-12,2.0451
2007-03-13,-2.9291
2007-03-14,0.6617
2007-03-15,-0.1578
2007-03-16,0.0263
2007-03-19,3.4755
2007-03-20,-1.1959
2007-03-21,1.0816
2007-03-22,-0.2297
2007-03-23,0.6394
2007-03-26,-0.3812
2007-03-27,-0.5357
2007-03-28,-0.6668
2007-03-29,-0.9812
2007-03-30,0.5215
2007-04-02,0.5966
2007-04-03,0.5673
2007-04-04,-0.8974
2007-04-05,2.3545
2007-04-09,-0.2022
2007-04-10,0.7852
2007-04-11,0.9047
2007-04-12,-0.4981
2007-04-13,-0.7509
2007-04-16,1.5131999999999999
2007-04-17,-0.1242
2007-04-18,-0.4975
2007-04-19,0.225
2007-04-20,1.771
2007-04-23,0.9559
2007-04-24,-0.3156
2007-04-25,2.9226
2007-04-26,-1.1595
2007-04-27,-0.2394
2007-04-30,-1.1279
2007-05-01,-0.6311
2007-05-02,0.8793
2007-05-03,-1.3801
2007-05-04,-0.933
2007-05-07,0.1487
2007-05-08,3.316
2007-05-09,0.5988
2007-05-10,-0.7619
2007-05-11,-0.4798
2007-05-14,-1.6393
2007-05-15,-0.8088
2007-05-16,0.0988
2007-05-17,2.0736
2007-05-18,-0.0726
2007-05-21,0.7744
2007-05-22,-1.2728
2007-05-23,-0.1703
2007-05-24,-1.3645
2007-05-25,-0.1235
2007-05-29,0.6184
2007-05-30,1.4503
2007-05-31,0.3635
2007-06-01,0.4587
2007-06-04,0.8892
2007-06-05,-0.1906
2007-06-06,-1.5513
2007-06-07,-1.5758
2007-06-08,3.5468
2007-06-11,-1.1179999999999999
2007-06-12,-1.4915
2007-06-13,0.2442
2007-06-14,-0.1218
2007-06-15,0.0
2007-06-18,-0.4146
2007-06-19,0.8572
2007-06-20,-0.2671
2007-06-21,-1.4874
2007-06-22,-0.7673
2007-06-25,-0.5737
2007-06-26,-1.3798
2007-06-27,4.35
2007-06-28,-0.4876
2007-06-29,-0.7104
2007-07-02,1.2337
2007-07-03,0.5362
2007-07-05,0.6545
2007-07-06,0.9634
2007-07-09,-1.0973
2007-07-10,-2.5567
2007-07-11,-0.9901
2007-07-12,0.0
2007-07-13,-0.5
2007-07-16,-0.3015
