ticker,AQQSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-16,0.2639
2010-03-17,2.4737
2010-03-18,-2.414
2010-03-23,-3.2368
2010-03-30,-0.7343
2010-03-31,0.274
2010-04-05,1.0929
2010-04-06,8.1081
2010-04-07,-5.0
2010-04-08,-1.2368000000000001
2010-04-12,-4.0234
2010-04-13,-2.8318
2010-04-14,0.0
2010-04-15,-0.0571
2010-04-16,8.6328
2010-04-19,1.3171
2010-04-20,-1.2474
2010-04-21,14.413499999999999
2010-04-22,-2.069
2010-04-23,6.9014
2010-04-26,10.5836
2010-04-27,10.2071
2010-04-28,4.5045
2010-04-29,-14.4828
2010-04-30,3.0565
2010-05-10,-5.3134
2010-05-11,-3.719
2010-05-12,-0.8584
2010-05-13,-3.4632
2010-05-14,-8.520199999999999
2010-05-18,-3.2353
2010-05-19,-1.2171
2010-05-20,-8.2052
2010-05-21,-6.0322
2010-05-24,1.0702
2010-05-25,-0.2353
2010-05-27,-0.9434
2010-05-28,4.7619
2010-06-01,-10.2273
2010-06-02,0.7595
2010-06-03,7.4121
2010-06-04,2.4561
2010-06-07,-1.2557
2010-06-08,-4.6243
2010-06-09,0.0
2010-06-10,4.8485
2010-06-11,4.0462
2010-06-14,1.6667
2010-06-15,20.2172
2010-06-16,0.0011
2010-06-17,6.6364
2010-06-18,1.023
2010-06-21,-0.8439
2010-06-22,0.0
2010-06-23,-2.1277
2010-06-24,-0.8696
2010-06-28,3.1579
2010-06-29,-3.4864
2010-06-30,3.2599
2010-07-01,-9.3003
2010-07-02,-3.7629
2010-07-06,-1.173
2010-07-07,1.6815
2010-07-08,-2.0914
2010-07-09,8.2948
2010-07-12,-1.0998
2010-07-13,0.6308
2010-07-14,-7.8171
2010-07-15,7.49
2010-07-16,2.3351
2010-07-19,0.0
2010-07-21,-1.3636
2010-07-22,-5.53
2010-07-23,0.9744
2010-07-26,-0.4819
2010-07-27,3.8834999999999997
2010-07-28,2.8505000000000003
2010-07-29,3.6801
2010-07-30,5.2585
2010-08-02,3.6635999999999997
2010-08-03,-1.6074000000000002
2010-08-05,-1.8765
2010-08-06,1.9135
2010-08-09,-0.0816
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,4.1667
2010-08-13,-0.3922
2010-08-16,-1.4961
2010-08-18,-2.0783
2010-08-20,5.3061
2010-08-24,-4.6512
2010-08-26,4.4715
2010-08-27,0.0
2010-08-30,-1.5564
2010-08-31,0.3953
2010-09-03,1.4961
2010-09-09,0.931
2010-09-14,0.3065
2010-09-15,-1.1485
2010-09-16,1.5504
2010-09-17,0.3817
2010-09-20,0.0
2010-09-21,6.4639
2010-09-22,-1.7856999999999998
2010-09-23,-2.5455
2010-09-27,-2.7239
2010-09-28,1.6484
2010-09-29,-1.5093999999999999
2010-09-30,-1.5326
2010-10-01,-2.7228
2010-10-04,-0.4
2010-10-05,4.498
2010-10-06,-2.9593
2010-10-07,1.3860999999999999
2010-10-08,-1.5625
2010-10-11,-1.1905000000000001
2010-10-13,0.4016
2010-10-14,-2.0
2010-10-15,0.7347
2010-10-18,-0.7293
2010-10-19,0.4082
2010-10-20,0.7317
2010-10-21,0.8868
2010-10-22,3.601
2010-10-25,3.4749
2010-10-26,-0.3731
2010-10-27,-0.7491
2010-10-28,-2.7547
2010-10-29,5.7043
2010-11-01,1.6886999999999999
2010-11-02,0.4332
2010-11-03,-4.7448
2010-11-04,0.0
2010-11-05,5.6604
2010-11-08,1.7856999999999998
2010-11-09,6.3158
2010-11-10,0.6601
2010-11-11,2.623
2010-11-12,2.5559
2010-11-15,0.0
2010-11-16,5.9190000000000005
2010-11-17,5.8824
2010-11-18,-0.8333
2010-11-19,4.1457
2010-11-22,-2.6358
2010-11-24,2.0994
2010-11-26,-1.0823
2010-11-29,-2.9539999999999997
2010-11-30,0.0564
2010-12-01,-1.4085
2010-12-02,1.4285999999999999
2010-12-03,-1.4085
2010-12-06,-5.7143
2010-12-07,6.0606
2010-12-08,-4.0
2010-12-09,4.1674
2010-12-10,1.4278
2010-12-13,-1.4647999999999999
2010-12-14,1.4866
2010-12-15,0.0
2010-12-16,1.4085
2010-12-17,0.0
2010-12-21,-1.9451
2010-12-22,1.6997
2010-12-23,0.2792
2010-12-27,0.0
2010-12-28,0.5556
2010-12-30,-8.9503
2010-12-31,6.3107
2011-01-03,3.8242000000000003
2011-01-05,-1.0445
2011-01-10,0.0
2011-01-13,0.2222
2011-01-14,0.6098
2011-01-20,-7.5207
2011-01-21,3.7236000000000002
2011-01-28,1.9529
2011-01-31,2.8169
2011-02-07,1.3699
2011-02-08,2.0
2011-02-09,-2.7557
2011-02-10,-8.9918
2011-02-11,1.1976
2011-02-14,-0.8876
2011-02-17,-2.3284000000000002
2011-02-18,3.912
2011-02-25,-3.0007
2011-02-28,0.9703
2011-03-01,4.9858
2011-03-03,3.0313
2011-03-04,0.4005
2011-03-07,2.3117
