ticker,STON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-15,0.0653
2015-07-16,0.0653
2015-07-17,0.1304
2015-07-20,-0.1954
2015-07-21,-0.3589
2015-07-22,1.8009
2015-07-23,-1.0614
2015-07-24,1.0728
2015-07-27,0.4825
2015-07-28,0.5762
2015-07-29,-0.4456
2015-07-30,-1.055
2015-07-31,-0.1292
2015-08-03,-3.1395
2015-08-04,-9.9625
2015-08-05,-2.9557
2015-08-06,-0.039
2015-08-07,2.1484
2015-08-10,2.9063
2015-08-11,-1.2635
2015-08-12,0.3387
2015-08-13,-0.7502
2015-08-14,-0.2268
2015-08-17,-1.0606
2015-08-18,-0.0383
2015-08-19,-0.4213
2015-08-20,-3.8077
2015-08-21,-5.8377
2015-08-24,1.2314
2015-08-25,5.1594
2015-08-26,5.6243
2015-08-27,3.1722
2015-08-28,-0.4026
2015-08-31,0.5513
2015-09-01,-1.0234
2015-09-02,3.2496
2015-09-03,0.5007
2015-09-04,-0.3915
2015-09-08,0.7503
2015-09-09,-0.6383
2015-09-10,-1.8915
2015-09-11,0.7639
2015-09-14,-1.2995999999999999
2015-09-15,0.3658
2015-09-16,1.2391
2015-09-17,0.252
2015-09-18,-0.2873
2015-09-21,0.9003
2015-09-22,-0.1071
2015-09-23,1.2862
2015-09-24,0.2116
2015-09-25,-0.0352
2015-09-28,-1.4437
2015-09-29,-4.323
2015-09-30,1.8671
2015-10-01,0.9164
2015-10-02,-0.109
2015-10-05,2.8727
2015-10-06,0.3181
2015-10-07,2.1846
2015-10-08,1.8276
2015-10-09,-0.8127
2015-10-12,0.5463
2015-10-13,0.2377
2015-10-14,-1.897
2015-10-15,0.1381
2015-10-16,0.7241
2015-10-19,0.6505
2015-10-20,1.2245
2015-10-21,0.336
2015-10-22,0.6363
2015-10-23,0.0666
2015-10-26,0.133
2015-10-27,1.1292
2015-10-28,0.7225
2015-10-29,-0.163
2015-10-30,0.5552
2015-11-02,0.8444
2015-11-03,-0.161
2015-11-04,-0.9677
2015-11-05,-1.4647000000000001
2015-11-06,-3.8851
2015-11-09,-3.5852
2015-11-10,3.0259
2015-11-11,3.4324
2015-11-12,0.65
2015-11-13,-0.7478
2015-11-16,-1.7466
2015-11-17,1.0805
2015-11-18,1.069
2015-11-19,-0.2047
2015-11-20,-0.8889
2015-11-23,-1.9662
2015-11-24,0.1056
2015-11-25,-0.0703
2015-11-27,-0.8794
2015-11-30,-1.2065
2015-12-01,1.1494
2015-12-02,-0.4972
2015-12-03,-1.8915
2015-12-04,-0.9094
2015-12-07,-2.0558
2015-12-08,2.3238
2015-12-09,-1.978
2015-12-10,-0.0374
2015-12-11,-0.9346
2015-12-14,-0.717
2015-12-15,3.3447
2015-12-16,1.4344000000000001
2015-12-17,0.0725
2015-12-18,-1.1232
2015-12-21,-1.4291
2015-12-22,0.8922
2015-12-23,1.7686
2015-12-24,-0.2172
2015-12-28,-1.8868
2015-12-29,0.2219
2015-12-30,-0.7011
2015-12-31,-0.6689
2016-01-04,0.9727
2016-01-05,0.0371
2016-01-06,0.0741
2016-01-07,-1.3694
2016-01-08,0.3752
2016-01-11,-0.2243
2016-01-12,-0.8243
2016-01-13,-0.7934
2016-01-14,0.1904
2016-01-15,-0.2281
2016-01-19,0.0
