ticker,WLDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-07,6.5257
2013-11-08,-6.1259
2013-11-11,-3.2979
2013-11-12,1.9938
2013-11-13,1.9444
2013-11-14,0.0
2013-11-15,1.6349
2013-11-18,2.1448
2013-11-19,-2.8871
2013-11-20,0.0
2013-11-21,2.7027
2013-11-22,-0.2632
2013-11-25,-2.9288
2013-11-26,1.5222
2013-11-27,-2.008
2013-11-29,3.2787
2013-12-02,-1.0582
2013-12-03,2.4064
2013-12-04,-2.5228
2013-12-05,0.1808
2013-12-06,0.5314
2013-12-09,0.266
2013-12-10,-1.8534000000000002
2013-12-11,6.4829
2013-12-12,0.0
2013-12-13,7.868
2013-12-16,-1.1764999999999999
2013-12-17,-0.4792
2013-12-18,0.2422
2013-12-19,3.1026
2013-12-20,7.4074
2013-12-23,9.4828
2013-12-24,8.2677
2013-12-26,-3.0909
2013-12-27,-7.8799
2013-12-30,4.888
2013-12-31,3.1068
2014-01-02,-3.0108
2014-01-03,-2.3325
2014-01-06,1.5905
2014-01-07,-0.3914
2014-01-08,-3.5362999999999998
2014-01-09,-0.2037
2014-01-10,3.2628
2014-01-13,-3.9502
2014-01-14,-3.4979
2014-01-15,-0.2132
2014-01-16,-2.1368
2014-01-17,1.31
2014-01-21,4.3103
2014-01-22,0.6198
2014-01-23,0.8214
2014-01-24,-1.833
2014-01-27,-2.0747
2014-01-28,1.6949
2014-01-29,-2.9167
2014-01-30,-0.3219
2014-01-31,1.8298999999999999
2014-02-03,-0.8457
2014-02-04,0.4264
2014-02-05,0.0
2014-02-06,1.9108
2014-02-07,0.2083
2014-02-10,-3.3264
2014-02-11,-1.0753
2014-02-12,2.1739
2014-02-13,-0.2128
2014-02-14,-0.597
2014-02-18,-1.6517
2014-02-19,-1.6358000000000001
2014-02-20,1.5521
2014-02-21,0.8297
2014-02-24,-0.3898
2014-02-25,-3.0435
2014-02-26,2.0179
2014-02-27,0.4396
2014-02-28,0.8753
2014-03-03,-0.6508
2014-03-04,0.0
2014-03-05,0.4367
2014-03-06,1.5217
2014-03-10,-1.4989
2014-03-11,-3.2609
2014-03-12,-0.2275
2014-03-13,0.228
2014-03-14,0.8989
2014-03-17,0.2227
2014-03-18,0.4444
2014-03-19,-0.4425
2014-03-20,0.8889
2014-03-21,6.8282
2014-03-24,-0.6186
2014-03-25,-3.112
2014-03-26,-1.2848
2014-03-27,-1.3014999999999999
2014-03-28,0.2198
2014-03-31,-0.6579
2014-04-01,0.883
2014-04-02,-0.4376
2014-04-03,2.4176
2014-04-04,0.2146
2014-04-07,-2.0343
2014-04-08,-0.5464
2014-04-09,-0.2198
2014-04-10,-0.4405
2014-04-11,0.6637
2014-04-14,-1.978
2014-04-15,0.0
2014-04-16,-0.3363
2014-04-17,0.3375
2014-04-22,3.1390000000000002
2014-04-23,0.0
2014-04-25,0.6522
2014-04-28,0.8639
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,-0.4283
2014-05-02,0.6452
2014-05-05,-0.2137
2014-05-06,-0.2141
2014-05-07,1.5021
2014-05-08,-1.4799
2014-05-09,7.7253
2014-05-12,1.7928
2014-05-13,-0.0024
2014-05-14,2.7422
2014-05-15,0.1905
2014-05-16,-0.7605
2014-05-19,2.1073
2014-05-20,-1.1257
2014-05-21,-0.1898
2014-05-22,1.7109999999999999
2014-05-23,7.2897
2014-05-27,1.7422
2014-05-28,0.0
2014-05-29,4.1096
2014-05-30,2.7961
2014-06-02,8.0
2014-06-03,4.0
2014-06-04,-1.7094
2014-06-05,2.8986
2014-06-06,0.4225
2014-06-09,4.7686
2014-06-10,2.8112
2014-06-11,-0.9115
2014-06-12,-0.2628
2014-06-13,-4.7431
2014-06-16,1.1065
2014-06-17,1.9152
2014-06-18,-0.1342
2014-06-19,-3.0914
2014-06-20,1.6644
2014-06-23,13.3697
2014-06-24,-8.4236
2014-06-25,3.4166
2014-06-26,0.6353
2014-06-27,1.0101
2014-06-30,8.375
2014-07-01,2.5375
2014-07-02,-2.2497
2014-07-03,4.1427
2014-07-07,1.326
2014-07-08,0.7634
2014-07-09,2.5974
2014-07-10,2.4262
2014-07-11,-2.0597
2014-07-14,-5.1525
2014-07-15,-7.5388
2014-07-16,2.7578
2014-07-17,3.2672
2014-07-18,4.7458
2014-07-21,-2.9126
2014-07-22,-3.2222
2014-07-23,-2.1814
2014-07-24,-0.6455
2014-07-25,-0.0591
2014-07-28,-4.9645
2014-07-29,1.7412999999999998
2014-07-30,-4.2787
2014-07-31,-1.4049
2014-08-01,-4.9223
2014-08-04,2.3161
2014-08-05,-0.1332
2014-08-06,0.2667
