ticker,AMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-28,-0.8636
2017-03-29,-0.1307
2017-03-30,0.2181
2017-03-31,-0.087
2017-04-03,-0.0871
2017-04-04,1.9180000000000001
2017-04-05,0.0855
2017-04-06,0.9402
2017-04-07,0.5504
2017-04-10,-1.4737
2017-04-11,0.4274
2017-04-12,-0.8085
2017-04-13,-0.3432
2017-04-17,1.5067
2017-04-18,0.7634
2017-04-19,-0.6734
2017-04-20,0.0847
2017-04-21,0.0
2017-04-24,-1.0161
2017-04-25,0.4277
2017-04-26,-1.7888
2017-04-27,1.1709
2017-04-28,-1.2002
2017-05-01,0.7375
2017-05-02,-1.3780999999999999
2017-05-03,0.131
2017-05-04,-1.0467
2017-05-05,-1.851
2017-05-08,0.2245
2017-05-09,-0.448
2017-05-10,-0.6751
2017-05-11,1.903
2017-05-12,-0.8448
2017-05-15,1.2107999999999999
2017-05-16,-1.4621
2017-05-17,-0.3147
2017-05-18,-0.0451
2017-05-19,0.1354
2017-05-22,0.5408
2017-05-23,1.1654
2017-05-24,0.6646
2017-05-25,-1.6284999999999998
2017-05-26,0.0447
2017-05-30,0.1342
2017-05-31,0.3573
2017-06-01,0.9791
2017-06-02,2.2036
2017-06-05,-1.6818
2017-06-06,-1.9737
2017-06-07,0.3132
2017-06-08,-0.8475
2017-06-09,-1.0346
2017-06-12,-0.5455
2017-06-13,1.7367
2017-06-14,0.6754
2017-06-15,0.2683
2017-06-16,0.669
2017-06-19,0.3988
2017-06-20,-0.5296
2017-06-21,0.0
2017-06-22,0.8873
2017-06-23,-0.1759
2017-06-26,-1.1013
2017-06-27,0.1336
2017-06-28,-0.3114
2017-06-29,-0.5355
2017-06-30,1.2562
2017-07-03,0.1772
2017-07-05,-0.6192
2017-07-06,-0.8011
2017-07-07,0.8524
2017-07-10,-0.2669
2017-07-11,0.8029
2017-07-12,1.2389000000000001
2017-07-13,-0.3497
2017-07-14,0.307
2017-07-17,0.481
2017-07-18,-0.3481
2017-07-19,0.0437
2017-07-20,-0.1309
2017-07-21,0.5245
2017-07-24,0.4783
2017-07-25,-0.3029
2017-07-26,0.5642
2017-07-27,-0.9495
2017-07-28,0.6972
2017-07-31,-0.4327
2017-08-01,0.4346
2017-08-02,-1.5145
2017-08-03,-0.3515
2017-08-04,-0.7937
2017-08-07,0.0
2017-08-08,-1.3333
2017-08-09,-0.5405
2017-08-10,0.1359
2017-08-11,-0.2261
2017-08-14,2.4932
2017-08-15,-1.1057
2017-08-16,2.415
2017-08-17,0.786
2017-08-18,-1.4731
2017-08-21,-0.4837
2017-08-22,-0.707
2017-08-23,1.0236
2017-08-24,-0.3965
2017-08-25,0.1769
2017-08-28,-1.5453000000000001
2017-08-29,-1.435
2017-08-30,1.5469
2017-08-31,-0.7168
2017-09-01,0.4061
2017-09-05,-1.0787
2017-09-06,-0.5906
2017-09-07,0.0
2017-09-08,-1.3254000000000001
2017-09-11,3.4737999999999998
2017-09-12,-1.6115
2017-09-13,-0.6824
2017-09-14,0.5039
2017-09-15,1.1421000000000001
2017-09-18,0.9485
2017-09-19,-0.8949
2017-09-20,-0.6772
2017-09-21,-0.3636
2017-09-22,-1.1861
2017-09-25,1.5234999999999999
2017-09-26,0.1819
2017-09-27,-0.1816
2017-09-28,-1.0459
2017-09-29,-0.2298
2017-10-02,0.4146
2017-10-03,-0.4587
2017-10-04,0.3687
2017-10-05,0.0918
2017-10-06,-1.3761
2017-10-09,0.4186
2017-10-10,0.7874
2017-10-11,-0.2298
2017-10-12,0.1382
2017-10-13,0.138
2017-10-16,-1.0106
2017-10-17,0.5568
2017-10-18,-0.9229
2017-10-19,-0.4192
2017-10-20,0.9355
2017-10-23,0.6024
2017-10-24,-1.0134
2017-10-25,-0.4188
2017-10-26,-0.3738
2017-10-27,0.7505
2017-10-30,-0.3259
2017-10-31,-0.6072
2017-11-01,0.8459
2017-11-02,0.6058
2017-11-03,-0.8337
2017-11-06,1.5413000000000001
2017-11-07,0.782
2017-11-08,-0.0456
2017-11-09,0.0
2017-11-10,1.0502
2017-11-13,-0.0452
2017-11-14,-1.2206
2017-11-15,-1.2357
2017-11-16,0.4634
2017-11-17,-1.0609
2017-11-20,0.9324
2017-11-21,0.9238
2017-11-22,-0.2288
2017-11-24,0.9633
2017-11-27,-1.0904
2017-11-28,-0.8268
2017-11-29,0.7874
2017-11-30,-1.2868
2017-12-01,0.3724
2017-12-04,0.1391
2017-12-05,-1.2506
2017-12-06,-0.0469
2017-12-07,0.5162
2017-12-08,1.634
2017-12-11,0.3215
2017-12-12,0.1832
2017-12-13,0.1371
2017-12-14,0.4564
2017-12-15,1.0904
2017-12-18,0.3146
2017-12-19,-1.3441
2017-12-20,-1.3624
2017-12-21,1.1971
2017-12-22,-0.9099
2017-12-26,0.0918
2017-12-27,-0.1376
2017-12-28,0.5512
2017-12-29,0.0
2018-01-02,-1.6026
2018-01-03,-0.0465
2018-01-04,-1.6294
2018-01-05,-0.9465
2018-01-08,-0.1433
2018-01-09,-0.7656
2018-01-10,0.1446
2018-01-11,-1.1074
2018-01-12,-0.3895
2018-01-16,-0.6843
2018-01-17,0.4921
2018-01-18,-0.7346
2018-01-19,0.6907
2018-01-22,0.7839
2018-01-23,0.7778
2018-01-24,-0.6271
2018-01-25,-0.3398
2018-01-26,-0.8281
2018-01-29,-0.9823
2018-01-30,-0.2976
2018-01-31,3.4328
2018-02-01,-1.7316
2018-02-02,-0.8811
2018-02-05,-3.2593
2018-02-06,-0.1531
2018-02-07,-0.7669
2018-02-08,-3.5033
2018-02-09,0.6941
2018-02-12,0.8484
2018-02-13,0.9989
2018-02-14,-0.1562
2018-02-15,1.512
2018-02-16,1.1299
2018-02-20,-1.4727999999999999
2018-02-21,-1.6495
2018-02-22,1.6771
2018-02-23,-0.6701
2018-02-26,1.5568
2018-02-27,-1.4308
2018-02-28,-0.5184
2018-03-01,0.469
2018-03-02,0.778
2018-03-05,0.772
2018-03-06,0.5618
2018-03-07,1.1681
2018-03-08,-1.2048
2018-03-09,0.5081
2018-03-12,-0.2528
2018-03-13,0.1014
2018-03-14,-0.6582
2018-03-15,0.2555
2018-03-16,1.2232
2018-03-19,-0.7049
2018-03-20,0.2028
2018-03-21,-0.9109
2018-03-22,-1.0215
2018-03-23,-1.7027999999999999
2018-03-26,0.9974
2018-03-27,1.0395
2018-03-28,1.749
2018-03-29,1.5167000000000002
2018-04-02,-2.0916
2018-04-03,0.4578
2018-04-04,0.557
2018-04-05,-0.1511
2018-04-06,-0.6051
2018-04-09,-0.1015
2018-04-10,1.0157
2018-04-11,-0.1508
2018-04-12,-0.7553
2018-04-13,0.1522
2018-04-16,0.7599
2018-04-17,0.8044
2018-04-18,-0.0998
2018-04-19,-1.0984
2018-04-20,-0.4038
2018-04-23,-0.3041
2018-04-24,0.7117
2018-04-25,0.101
2018-04-26,0.7564
2018-04-27,0.5005
2018-04-30,0.5976
2018-05-01,0.2475
2018-05-02,-0.0988
2018-05-03,0.0
2018-05-04,1.2852000000000001
2018-05-07,0.1464
2018-05-08,0.2924
2018-05-09,0.7289
2018-05-10,0.7718
2018-05-11,0.2872
2018-05-14,-1.9569999999999999
2018-05-15,-2.3856
2018-05-16,-0.7481
2018-05-17,-0.5528
2018-05-18,-0.4548
2018-05-21,0.3553
2018-05-22,-0.9105
2018-05-23,0.5105
2018-05-24,0.0508
2018-05-25,-0.4061
2018-05-29,0.2548
2018-05-30,1.6268
2018-05-31,-0.3502
2018-06-01,1.255
2018-06-04,2.3302
2018-06-05,0.7752
2018-06-06,0.4808
2018-06-07,-0.622
2018-06-08,0.8666
2018-06-11,-0.1909
2018-06-12,1.1
2018-06-13,-0.8515
2018-06-14,0.6202
2018-06-15,-0.0475
2018-06-18,0.8084
2018-06-19,1.5566
2018-06-20,1.4399
2018-06-21,-0.0458
2018-06-22,0.0916
2018-06-25,0.7323
2018-06-26,-0.0454
2018-06-27,0.0455
2018-06-28,1.0904
2018-06-29,-0.3146
2018-07-02,-0.2705
2018-07-03,0.9042
2018-07-05,0.3584
2018-07-06,0.625
2018-07-09,0.0887
2018-07-10,-0.7979
2018-07-11,0.8043
2018-07-12,0.6206
2018-07-13,0.0441
2018-07-16,-0.2642
2018-07-17,-0.9272
2018-07-18,0.7576
2018-07-19,1.1942
2018-07-20,-0.9178
2018-07-23,-0.5293
2018-07-24,-0.7539
2018-07-25,-1.2064
2018-07-26,0.6332
2018-07-27,-1.4382
2018-07-30,0.0912
2018-07-31,0.8656
2018-08-01,0.9033
