ticker,NVFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-10,0.5821
2016-02-11,-2.0966
2016-02-12,-2.3256
2016-02-16,3.1746
2016-02-17,-0.7692
2016-02-18,0.3101
2016-02-19,0.4637
2016-02-22,-0.7692
2016-02-23,0.0
2016-02-24,-1.5504
2016-02-25,0.0
2016-02-26,3.9370000000000003
2016-02-29,1.5152
2016-03-01,1.4925
2016-03-02,-1.5349
2016-03-03,-7.4022
2016-03-04,-2.4194
2016-03-07,-1.6529
2016-03-08,0.8403
2016-03-09,-2.3333
2016-03-10,1.9945
2016-03-11,0.4287
2016-03-14,-0.9996
2016-03-15,-0.7257
2016-03-16,0.7734
2016-03-17,3.4483
2016-03-18,-3.252
2016-03-21,0.8403
2016-03-22,-0.8333
2016-03-23,-0.5042
2016-03-24,-2.8716
2016-03-28,-2.6087
2016-03-29,3.5714
2016-03-30,0.0
2016-03-31,0.8621
2016-04-01,-2.5641
2016-04-04,3.5088
2016-04-05,1.6949
2016-04-06,0.8333
2016-04-07,2.4793
2016-04-08,4.0323
2016-04-11,-2.3256
2016-04-12,0.7937
2016-04-13,-3.1496
2016-04-14,3.252
2016-04-15,-2.3622
2016-04-18,0.0
2016-04-19,-0.6754
2016-04-20,-4.1916
2016-04-21,0.0
2016-04-22,-1.6949
2016-04-25,-6.0345
2016-04-26,0.9174
2016-04-27,-5.4545
2016-04-28,-2.8846
2016-04-29,-0.9901
2016-05-02,5.0
2016-05-03,-7.619
2016-05-04,1.0309
2016-05-05,2.0408
2016-05-06,-9.0
2016-05-09,-15.3846
2016-05-10,0.0
2016-05-11,-9.0909
2016-05-12,-2.8571
2016-05-13,-7.2335
2016-05-16,-9.6403
2016-05-17,-4.7039
2016-05-18,-0.4027
2016-05-19,3.512
2016-05-20,8.9286
2016-05-23,-4.918
2016-05-24,0.6034
2016-05-25,-4.0274
2016-05-26,-1.25
2016-05-27,6.6908
2016-05-31,-6.6102
2016-06-01,0.1815
2016-06-02,0.1585
2016-06-03,3.0635
2016-06-06,-3.2796
2016-06-07,-5.6475
2016-06-08,11.5144
2016-06-09,-1.0994
2016-06-10,-0.6103
2016-06-13,-3.5088
2016-06-14,10.7273
2016-06-15,-4.7619
2016-06-16,-0.0216
2016-06-17,-5.152
2016-06-20,-21.8182
2016-06-21,-6.9767
2016-06-22,-2.5
2016-06-23,5.1282
2016-06-24,2.439
2016-06-27,-4.7619
2016-06-28,-2.4688
2016-06-29,7.6578
2016-06-30,0.0
2016-07-01,2.1429
2016-07-05,7.2261
2016-07-06,-2.1739
2016-07-07,2.2222
2016-07-08,5.0272
2016-07-11,-8.5123
2016-07-12,3.9593
2016-07-13,-0.3264
2016-07-14,-3.316
2016-07-15,2.2724
2016-07-18,4.6646
2016-07-19,1.2395
2016-07-20,-8.3095
2016-07-21,6.8182
2016-07-22,17.0213
2016-07-25,30.0
2016-07-26,-6.014
2016-07-27,2.6786
2016-07-28,-1.4493
2016-07-29,-4.3934
2016-08-01,-0.0192
2016-08-02,-15.3846
2016-08-03,-3.6591
2016-08-04,7.549
2016-08-05,5.2643
2016-08-08,8.3559
2016-08-09,-6.2596
2016-08-10,9.96
2016-08-11,7.444
2016-08-12,-4.9661
2016-08-15,3.8552999999999997
2016-08-16,5.4187
2016-08-17,13.2343
2016-08-18,1.4001000000000001
2016-08-19,2.311
2016-08-22,-5.6684
2016-08-23,13.253
2016-08-24,4.5612
2016-08-25,-7.4145
2016-08-26,1.2843
2016-08-29,1.3698000000000001
2016-08-30,3.7126
2016-08-31,1.548
2016-09-01,1.626
2016-09-02,25.0
2016-09-06,39.52
2016-09-07,-1.3761
2016-09-08,4.6512
2016-09-09,-5.0
2016-09-12,1.7544
2016-09-13,1.7241
2016-09-14,-3.3898
2016-09-15,0.0
2016-09-16,1.1696
2016-09-19,0.0
2016-09-20,4.0535
2016-09-21,21.6582
2016-09-22,-9.1324
2016-09-23,-0.5025
2016-09-26,-2.5253
2016-09-27,4.1451
2016-09-28,17.9104
2016-09-29,5.48
2016-09-30,45.2073
2016-10-03,39.9449
2016-10-04,-14.7638
2016-10-05,-5.7737
2016-10-06,-14.951
2016-10-07,10.3746
2016-10-10,-3.9164
2016-10-11,19.0217
2016-10-12,-4.1096
2016-10-13,-4.7619
2016-10-14,-7.25
2016-10-17,12.6685
2016-10-18,1.1962
2016-10-19,1.6548
2016-10-20,2.093
2016-10-21,-2.0501
2016-10-24,-0.6977
2016-10-25,0.7026
2016-10-26,-3.4884
