ticker,QTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-01,-1.4433
2017-12-04,-1.6736
2017-12-05,0.4255
2017-12-06,-4.2373
2017-12-07,1.3274
2017-12-08,-3.2751
2017-12-11,0.2257
2017-12-12,-1.5766
2017-12-13,0.2288
2017-12-14,-1.1416
2017-12-15,4.157
2017-12-18,7.5388
2017-12-19,2.0619
2017-12-20,4.6465
2017-12-21,0.3861
2017-12-22,-0.5769
2017-12-26,-0.9671
2017-12-27,-0.9766
2017-12-28,-2.9586
2017-12-29,0.6098
2018-01-02,4.8485
2018-01-03,0.1927
2018-01-04,4.2308
2018-01-05,-2.3985
2018-01-08,0.189
2018-01-09,-17.1698
2018-01-10,-7.7449
2018-01-11,0.7407
2018-01-12,0.9804
2018-01-16,1.6989999999999998
2018-01-17,-6.2053
2018-01-18,-5.3435
2018-01-19,0.8065
2018-01-22,-0.5333
2018-01-23,-3.7534
2018-01-24,-3.6212
2018-01-25,-3.4682
2018-01-26,-2.0958
2018-01-29,7.6453
2018-01-30,-5.6818
2018-01-31,-12.1988
2018-02-01,-0.1715
2018-02-02,-1.0309
2018-02-05,3.8194
2018-02-06,34.7826
2018-02-07,-3.2258
2018-02-08,-4.8718
2018-02-09,-2.965
2018-02-12,-3.3333
2018-02-13,12.069
2018-02-14,0.7692
2018-02-15,7.1247
2018-02-16,4.7506
2018-02-20,-4.9887
2018-02-21,6.4439
2018-02-22,0.2242
2018-02-23,1.4541
2018-02-26,5.4024
2018-02-27,-3.9749
2018-02-28,0.2179
2018-03-01,8.4783
2018-03-02,5.4108
2018-03-05,0.3802
2018-03-06,1.5152
2018-03-07,-4.8507
2018-03-08,3.1373
2018-03-09,3.9924
2018-03-12,1.2797
2018-03-13,4.1516
2018-03-14,0.1733
2018-03-15,8.1315
2018-03-16,0.64
2018-03-19,-5.0874
2018-03-20,-3.6851000000000003
2018-03-21,2.4348
2018-03-22,-7.9796
2018-03-23,-3.69
2018-03-26,-5.364
2018-03-27,-4.251
2018-03-28,-0.8457
2018-03-29,0.4264
2018-04-02,-8.0679
2018-04-03,0.6928
2018-04-04,1.8349
2018-04-05,-0.2252
2018-04-06,-5.6433
2018-04-09,-5.9809
2018-04-10,7.1247
2018-04-11,6.4133
2018-04-12,5.1339
2018-04-13,-4.4586
2018-04-16,-1.3333
2018-04-17,2.4775
2018-04-18,5.4945
2018-04-19,-6.4583
2018-04-20,-1.7816999999999998
2018-04-23,-9.2971
2018-04-24,0.0
2018-04-25,7.5
2018-04-26,-6.2791
2018-04-27,3.7221
2018-04-30,-0.2392
2018-05-01,0.9592
2018-05-02,1.9002
2018-05-03,3.0303
2018-05-04,7.6923
2018-05-07,-1.6806999999999999
2018-05-08,1.4957
2018-05-09,1.4737
2018-05-10,-2.0747
2018-05-11,-0.4237
2018-05-14,1.4894
2018-05-15,-1.6771
2018-05-16,-0.8529
2018-05-17,0.8602
2018-05-18,28.9979
2018-05-21,-2.9752
2018-05-22,11.5843
2018-05-23,2.4427
2018-05-24,-2.5335
2018-05-25,3.9755000000000003
2018-05-29,7.2059
2018-05-30,2.0576
2018-05-31,-3.0914
2018-06-01,1.5257
2018-06-04,0.1366
2018-06-05,3.1378
2018-06-06,0.2646
2018-06-07,-2.3747
2018-06-08,0.2703
2018-06-11,-3.9084
2018-06-12,-2.9453
2018-06-13,-3.4682
2018-06-14,-0.2994
2018-06-15,7.2072
2018-06-18,16.9468
2018-06-19,-1.9162
2018-06-20,8.9133
2018-06-21,0.1121
2018-06-22,-1.4558
2018-06-25,-5.7955
2018-06-26,0.0
2018-06-27,-4.7045
2018-06-28,3.5443
2018-06-29,-1.8336999999999999
2018-07-02,-1.3699
2018-07-03,0.3788
2018-07-05,2.0126
2018-07-06,0.4932
2018-07-09,1.9632
2018-07-10,-1.444
2018-07-11,-2.3199
2018-07-12,0.125
2018-07-13,-0.6242
2018-07-16,-4.7739
2018-07-17,1.4512
2018-07-18,1.1703999999999999
2018-07-19,-0.6427
2018-07-20,-0.2587
2018-07-23,-0.2594
2018-07-24,-1.4304000000000001
2018-07-25,1.847
2018-07-26,1.2953000000000001
2018-07-27,-0.1279
2018-07-30,-3.9693
2018-07-31,0.6667
2018-08-01,-0.3974
2018-08-02,0.266
2018-08-03,0.7958
2018-08-06,0.7895
