ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-28,0.0
2017-12-29,-0.566
2018-01-02,0.759
2018-01-03,-2.4482
2018-01-04,1.1583
2018-01-05,2.4809
2018-01-08,-56.9832
2018-01-09,3.0303
2018-01-10,2.1008
2018-01-11,-6.5844000000000005
2018-01-12,-7.9295
2018-01-16,0.9569
2018-01-17,-1.8957000000000002
2018-01-18,-0.4831
2018-01-19,-1.4563
2018-01-22,8.3744
2018-01-23,5.4545
2018-01-24,-3.8792999999999997
2018-01-25,-2.6906
2018-01-26,-0.4608
2018-01-29,-0.463
2018-01-30,-3.7209
2018-01-31,-1.9324
2018-02-01,0.0
2018-02-02,-5.4187
2018-02-05,3.125
2018-02-06,3.0303
2018-02-07,-1.9607999999999999
2018-02-08,-3.0
2018-02-09,-1.5464
2018-02-12,-19.6335
2018-02-13,17.9153
2018-02-14,-9.9448
2018-02-15,3.3742
2018-02-16,-0.2967
2018-02-20,-1.1905000000000001
2018-02-21,-3.012
2018-02-22,0.6211
2018-02-23,-10.4938
2018-02-26,8.2759
2018-02-27,-7.0064
2018-02-28,-1.3699
2018-03-01,3.4722
2018-03-02,3.3557
2018-03-05,0.6494
2018-03-06,1.9355
2018-03-07,-1.2658
2018-03-08,1.9231
2018-03-09,3.1447
2018-03-12,-2.439
2018-03-13,-4.375
2018-03-14,-1.9607999999999999
2018-03-15,-2.6667
2018-03-16,3.4247
2018-03-19,-1.9868000000000001
2018-03-20,-1.3514
2018-03-21,2.0548
2018-03-22,-2.6846
2018-03-23,-1.3793
2018-03-26,-1.3986
2018-03-27,-2.8369
2018-03-28,-1.4599
2018-03-29,-1.4815
2018-04-02,-7.5188
2018-04-03,-3.252
2018-04-04,5.4622
2018-04-05,-3.5857
2018-04-06,-3.3058
2018-04-09,-2.5641
2018-04-10,0.8772
2018-04-11,9.1304
2018-04-12,0.3984
2018-04-13,-5.5556
2018-04-16,-1.6806999999999999
2018-04-17,0.8547
2018-04-18,-2.5423999999999998
2018-04-19,-2.6087
2018-04-20,-3.5714
2018-04-23,-2.7778
2018-04-24,2.8571
2018-04-25,-0.9259
2018-04-26,2.8037
2018-04-27,0.9091
2018-04-30,-3.6036
2018-05-01,-1.8692
2018-05-02,7.619
2018-05-03,-3.9823
2018-05-04,2.3041
2018-05-07,26.1261
2018-05-08,-18.5714
2018-05-09,16.6667
2018-05-10,-12.0301
2018-05-11,2.5641
2018-05-14,2.5
2018-05-15,-4.878
2018-05-16,5.9829
2018-05-17,-0.8065
2018-05-18,5.6911000000000005
2018-05-21,-6.1538
2018-05-22,0.8197
2018-05-23,0.0
2018-05-24,-2.439
2018-05-25,0.4167
2018-05-29,23.6515
2018-05-30,-2.6846
2018-05-31,16.5517
