ticker,PTOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-02,0.0
2017-11-03,-20.0
2017-11-06,100.0
2017-11-07,37.5
2017-11-08,-9.0909
2017-11-09,-21.0
2017-11-10,-36.7089
2017-11-13,20.0
2017-11-14,-16.6667
2017-11-15,40.0
2017-11-16,42.8571
2017-11-17,-10.0
2017-11-20,0.0
2017-11-21,-22.2222
2017-11-22,-28.5714
2017-11-24,40.0
2017-11-27,-14.2857
2017-11-28,33.3333
2017-11-29,993.75
2017-11-30,-58.8571
2017-12-01,177.7778
2017-12-04,1.0
2017-12-05,-10.8911
2017-12-06,-28.1111
2017-12-07,6.6461
2017-12-08,-1.4493
2017-12-11,-16.1765
2017-12-12,-5.2632
2017-12-13,7.4074
2017-12-14,-8.6207
2017-12-15,1.8868
2017-12-18,85.1852
2017-12-19,43.0
2017-12-20,82.5175
2017-12-21,91.5709
2017-12-22,-23.0
2017-12-26,7.013
2017-12-27,33.4951
2017-12-28,1.8182
2017-12-29,-17.9464
2018-01-02,-32.2742
2018-01-03,-33.9653
2018-01-04,14.8418
2018-01-05,-2.5423999999999998
2018-01-08,-21.7391
2018-01-09,-22.2222
2018-01-10,3.5714
2018-01-11,-17.2414
2018-01-12,-25.0
2018-01-16,-24.7778
2018-01-17,29.9852
2018-01-18,-25.0
2018-01-19,-7.5758
2018-01-22,-18.0328
2018-01-23,8.0
2018-01-24,-16.6667
2018-01-25,7.7778
2018-01-26,-12.3711
2018-01-29,-10.5882
2018-01-30,-13.1579
2018-01-31,-3.0303
2018-02-01,-1.5625
2018-02-02,14.2857
2018-02-05,-11.1111
2018-02-06,-12.5
2018-02-07,25.0
2018-02-08,-17.1429
2018-02-09,86.2069
2018-02-12,-3.7037
2018-02-13,-3.8462
2018-02-14,-12.0
2018-02-15,-4.5455
2018-02-16,-28.5714
2018-02-20,-3.3333
2018-02-21,3.4483
2018-02-22,-6.6667
2018-02-23,3.5714
2018-02-26,13.7931
2018-02-27,-15.1515
2018-02-28,-3.5714
2018-03-01,11.1111
2018-03-02,-10.0
2018-03-05,0.0
2018-03-06,-11.1111
2018-03-07,-12.5
2018-03-08,-14.2857
2018-03-09,5.5556
2018-03-12,-5.2632
2018-03-13,-5.5556
2018-03-14,0.0
2018-03-15,-5.8824
2018-03-16,-12.5
2018-03-19,0.0
2018-03-20,71.4286
2018-03-21,-25.0
2018-03-22,13.8889
2018-03-23,7.3171
2018-03-26,-10.0
2018-03-27,-14.1414
2018-03-28,-5.8824
2018-03-29,6.25
2018-04-02,0.0
2018-04-03,-17.647100000000002
2018-04-04,14.2857
2018-04-05,-6.25
2018-04-06,0.0
2018-04-09,6.6667
2018-04-10,-6.25
2018-04-11,6.6667
2018-04-12,0.0
2018-04-13,0.0
2018-04-16,0.625
2018-04-17,-0.6211
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,31.25
2018-04-23,42.8571
2018-04-24,13.3333
2018-04-25,-11.7647
2018-04-26,6.6667
2018-04-27,3.125
2018-04-30,5.4545
2018-05-01,20.6897
2018-05-02,9.5238
2018-05-03,-2.1739
