ticker,BBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-02,3.7664999999999997
2010-09-03,4.3557
2010-09-07,-2.7826
2010-09-08,-0.7156
2010-09-09,2.3423
2010-09-10,-1.0563
2010-09-13,5.694
2010-09-14,2.862
2010-09-15,2.1277
2010-09-16,-6.4103
2010-09-17,-3.0822
2010-09-20,6.8905
2010-09-21,-3.6364
2010-09-22,-1.5436999999999999
2010-09-23,-3.4843
2010-09-24,7.2202
2010-09-27,-3.8721
2010-09-28,4.2032
2010-09-29,0.1681
2010-09-30,1.5101
2010-10-01,-2.4793
2010-10-04,-4.2373
2010-10-05,4.2478
2010-10-06,3.7351
2010-10-07,-1.8003
2010-10-08,4.1667
2010-10-11,-1.12
2010-10-12,-0.9709
2010-10-13,2.9412000000000003
2010-10-14,2.3810000000000002
2010-10-15,3.4109
2010-10-18,1.1994
2010-10-19,-4.0
2010-10-20,5.0926
2010-10-21,1.0279
2010-10-22,0.5814
2010-10-25,-2.3121
2010-10-26,-2.9586
2010-10-27,-3.9634
2010-10-28,11.5873
2010-10-29,0.0
2010-11-01,-5.1209
2010-11-02,-0.5997
2010-11-03,-0.6033
2010-11-04,4.4006
2010-11-05,-0.1453
2010-11-08,2.0378
2010-11-09,-0.9986
2010-11-10,0.7205
2010-11-11,-6.4378
2010-11-12,-2.4465
2010-11-15,-0.3135
2010-11-16,-2.044
2010-11-17,1.1236
2010-11-18,3.6508000000000003
2010-11-19,-0.1531
2010-11-22,-0.4601
2010-11-23,-4.4684
2010-11-24,1.6129
2010-11-26,1.4285999999999999
2010-11-29,-0.7825
2010-11-30,-2.2082
2010-12-01,-3.871
2010-12-02,0.0
2010-12-03,32.7181
2010-12-06,-3.287
2010-12-07,-2.6144
2010-12-08,0.2685
2010-12-09,-0.9371
2010-12-10,0.6757
2010-12-13,-3.4899
2010-12-14,2.2253
2010-12-15,0.1361
2010-12-16,-0.4076
2010-12-17,1.5007000000000001
2010-12-20,0.9409
2010-12-21,6.1252
2010-12-22,-1.8820999999999999
2010-12-23,0.6394
2010-12-27,-0.3812
2010-12-28,-2.4234999999999998
2010-12-29,-0.3922
2010-12-30,0.2625
2010-12-31,0.0
2011-01-03,-2.0942
2011-01-04,-1.2032
2011-01-05,2.1651
2011-01-06,-0.1325
2011-01-07,0.9284
2011-01-10,-1.3141
2011-01-11,2.9294000000000002
2011-01-12,-1.1643
2011-01-13,-1.9634
2011-01-14,0.6676
2011-01-18,0.7958
2011-01-19,-0.7895
2011-01-20,0.1326
2011-01-21,0.0
2011-01-24,0.2649
2011-01-25,0.0
2011-01-26,1.321
2011-01-27,0.7823
2011-01-28,-3.8810000000000002
2011-01-31,3.0956
2011-02-01,0.9138
2011-02-02,-0.9056
2011-02-03,-0.7833
2011-02-04,-0.5263
2011-02-07,3.7037
2011-02-08,3.3163
2011-02-09,-1.8519
2011-02-10,0.2516
2011-02-11,3.8895999999999997
2011-02-14,-3.9855
2011-02-15,-2.0126
2011-02-16,1.2837
2011-02-17,-12.167300000000001
2011-02-18,-2.1645
2011-02-22,-3.9823
2011-02-23,-0.4608
2011-02-24,-1.5432000000000001
2011-02-25,1.8809
2011-02-28,1.8462
2011-03-01,-4.8338
2011-03-02,0.6349
2011-03-03,2.3659
2011-03-04,0.9245
2011-03-07,-2.2901
2011-03-08,4.375
2011-03-09,0.4491
2011-03-10,-0.4471
2011-03-11,1.0479
2011-03-14,-1.4815
2011-03-15,-4.0602
2011-03-16,-1.2539
2011-03-17,-0.1587
2011-03-18,-1.5897999999999999
2011-03-21,3.3926
2011-03-22,-2.9688
2011-03-23,0.8052
2011-03-24,0.1597
2011-03-25,-0.319
2011-03-28,-2.08
2011-03-29,0.3268
2011-03-30,0.0
2011-03-31,-1.4658
2011-04-01,0.8264
2011-04-04,0.3279
2011-04-05,3.1046
2011-04-06,3.9619999999999997
2011-04-07,-4.2683
2011-04-08,-2.3885
2011-04-11,0.8157
2011-04-12,-0.4854
2011-04-13,-0.9756
2011-04-14,-2.9557
2011-04-15,2.1997
2011-04-18,-5.7947
2011-04-19,1.9332
2011-04-20,2.4138
2011-04-21,-1.8519
2011-04-25,-3.9451
2011-04-26,0.5357
2011-04-27,0.8881
2011-04-28,0.3521
2011-04-29,7.5439
2011-05-02,0.6525
2011-05-03,-1.7828
2011-05-04,-0.9901
2011-05-05,4.3333
2011-05-06,3.0351
2011-05-09,0.9302
2011-05-10,0.0
2011-05-11,1.3825
2011-05-12,3.7879
2011-05-13,0.5839
2011-05-16,-0.2903
2011-05-17,-0.5822
2011-05-18,0.5857
2011-05-19,-0.1456
2011-05-20,-1.312
2011-05-23,-1.9202
2011-05-24,-0.1506
2011-05-25,1.3575
2011-05-26,0.4464
2011-05-27,-1.037
2011-05-31,0.2994
2011-06-01,-1.791
2011-06-02,0.4559
2011-06-03,-1.059
2011-06-06,1.0703
2011-06-07,0.4539
2011-06-08,-2.259
2011-06-09,0.6163
2011-06-10,-2.7565
2011-06-13,0.7874
2011-06-14,1.4062999999999999
2011-06-15,0.0
2011-06-16,0.0
2011-06-17,-1.5408
2011-06-20,-0.939
2011-06-21,2.6856
2011-06-22,-2.0
2011-06-23,0.9419
2011-06-24,4.1991
2011-06-27,-1.4925
2011-06-28,0.0
2011-06-29,-0.1515
2011-06-30,-1.214
2011-07-01,-2.765
2011-07-05,-4.4234
2011-07-06,4.2975
2011-07-07,2.8526
2011-07-08,-1.5408
2011-07-11,0.1565
2011-07-12,1.25
2011-07-13,0.1543
2011-07-14,-2.4653
2011-07-15,-0.316
2011-07-18,-1.7433
2011-07-19,0.4839
2011-07-20,-1.2841
2011-07-21,-0.4878
2011-07-22,0.6536
2011-07-25,0.3247
2011-07-26,0.0
2011-07-27,-2.2654
2011-07-28,1.3245
2011-07-29,1.1438
2011-08-01,4.2003
2011-08-02,-7.7519
2011-08-03,2.8571
2011-08-04,-8.0065
2011-08-05,-1.2433
2011-08-08,-10.0719
2011-08-09,9.6
2011-08-10,-7.2993
2011-08-11,7.874
2011-08-12,3.6496
2011-08-15,-0.7042
2011-08-16,-3.5461
2011-08-17,-1.1029
2011-08-18,-7.6208
2011-08-19,-4.829
2011-08-22,0.0
2011-08-23,4.4397
2011-08-24,0.2024
2011-08-25,-3.8384
2011-08-26,5.6723
2011-08-29,13.7177
2011-08-30,0.0
2011-08-31,3.3217
2011-09-01,-4.2301
2011-09-02,-6.7138
2011-09-06,0.5682
2011-09-07,6.4030000000000005
2011-09-08,-1.2389000000000001
2011-09-09,-4.4803
2011-09-12,1.1257
2011-09-13,-0.7421
2011-09-14,4.486
2011-09-15,-1.6099999999999999
2011-09-16,7.2727
2011-09-19,-3.3898
2011-09-20,-4.0351
2011-09-21,-5.6673
2011-09-22,-6.7829
2011-09-23,0.8316
2011-09-26,3.0928
2011-09-27,2.0
2011-09-28,-1.7647
2011-09-29,3.3932
2011-09-30,-1.5444
2011-10-03,-8.6275
2011-10-04,2.1459
2011-10-05,-0.6303
2011-10-06,5.4968
2011-10-07,-2.4048
2011-10-10,6.5708
2011-10-11,2.3121
2011-10-12,2.6365
2011-10-13,0.5505
2011-10-14,2.3723
2011-10-17,-4.8128
2011-10-18,2.6217
2011-10-19,-2.1898
2011-10-20,2.0522
2011-10-21,-0.1828
2011-10-24,7.6923
2011-10-25,-4.2517
2011-10-26,3.5524
2011-10-27,14.2367
2011-10-28,0.6006
2011-10-31,-2.2388
2011-11-01,-0.7634
2011-11-02,2.0
2011-11-03,1.3575
