ticker,WRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-01,-6.5979
2020-05-04,3.7528
2020-05-05,2.1277
2020-05-06,-0.625
2020-05-07,3.7736
2020-05-08,-1.2121
2020-05-11,0.409
2020-05-12,-3.4623
2020-05-13,-9.2827
2020-05-14,2.7907
2020-05-15,0.905
2020-05-18,1.7936999999999999
2020-05-19,-0.2203
2020-05-20,-3.0905
2020-05-21,9.795
2020-05-22,-4.1494
2020-05-26,3.4632
2020-05-27,4.1841
2020-05-28,1.6064
2020-05-29,27.4704
2020-06-01,20.3101
2020-06-02,20.6186
2020-06-03,-12.8205
2020-06-04,5.1471
2020-06-05,-8.7413
2020-06-08,-7.0881
2020-06-09,-5.4983
2020-06-10,3.4182
2020-06-11,-13.3615
2020-06-12,30.6818
2020-06-15,7.5776
2020-06-16,-1.1547
2020-06-17,-1.6355
2020-06-18,15.0831
2020-06-19,1.548
2020-06-22,-9.6037
2020-06-23,7.2513
2020-06-24,-0.6289
2020-06-25,1.6878
2020-06-26,-2.6971
2020-06-29,5.1173
2020-06-30,6.288
2020-07-01,-2.4809
2020-07-02,9.0998
2020-07-06,17.3991
2020-07-07,-5.042
2020-07-08,0.0805
2020-07-09,-1.1254
2020-07-10,-0.6504
2020-07-13,-10.1473
2020-07-14,9.6539
2020-07-15,0.0415
2020-07-16,10.4193
2020-07-17,0.3759
2020-07-20,-3.0337
2020-07-21,-8.1499
2020-07-22,-4.6257
2020-07-23,0.8818
2020-07-24,-3.2343
2020-07-27,7.0461
2020-07-28,-2.1941
2020-07-29,-3.1924
2020-07-30,2.4064
2020-07-31,-14.7084
