ticker,DAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-10,-8.7983
2008-10-13,14.7059
2008-10-14,0.3077
2008-10-15,-11.0429
2008-10-16,3.7931
2008-10-17,-4.2082
2008-10-20,3.4682
2008-10-21,-0.6704
2008-10-22,-9.8988
2008-10-23,-2.372
2008-10-24,-4.6036
2008-10-27,-8.8472
2008-10-28,4.8529
2008-10-29,1.2623
2008-10-30,3.7396000000000003
2008-10-31,12.016
2008-11-03,14.0048
2008-11-04,-1.978
2008-11-05,0.8969
2008-11-06,-9.1111
2008-11-07,-2.445
2008-11-10,-12.2807
2008-11-11,-0.8571
2008-11-12,-2.7378
2008-11-13,-4.8889
2008-11-14,-0.9346
2008-11-17,-4.5597
2008-11-18,-13.5091
2008-11-19,-8.1905
2008-11-20,-14.9378
2008-11-21,-22.439
2008-11-24,15.4088
2008-11-25,20.436
2008-11-26,16.0633
2008-11-28,4.2885
2008-12-01,-10.0935
2008-12-02,1.6632
2008-12-03,8.3845
2008-12-04,1.5093999999999999
2008-12-05,-7.0632
2008-12-08,4.0
2008-12-09,7.6923
2008-12-10,-7.3214
2008-12-11,1.1561
2008-12-12,-3.4286
2008-12-15,2.5641
2008-12-16,0.7692
2008-12-17,16.4122
2008-12-18,-2.459
2008-12-19,2.3529
2008-12-22,-8.046
2008-12-23,0.8929
2008-12-24,1.4159
2008-12-26,2.7923
2008-12-29,0.6791
2008-12-30,12.1417
2008-12-31,1.6541000000000001
2009-01-02,13.7574
2009-01-05,5.4616
2009-01-06,14.9199
2009-01-07,-5.2575
2009-01-08,7.1348
2009-01-09,7.3996
2009-01-12,-15.5512
2009-01-13,2.6807
2009-01-14,-6.1294
2009-01-15,-5.5623000000000005
2009-01-16,-0.128
2009-01-20,-9.6154
2009-01-21,7.8014
2009-01-22,13.1579
2009-01-23,-9.3023
2009-01-26,3.9744
2009-01-27,6.7818000000000005
2009-01-28,9.3533
2009-01-29,-9.9261
2009-01-30,-8.3236
2009-02-02,-8.5678
2009-02-03,3.6364
2009-02-04,-8.502
2009-02-05,-6.3422
2009-02-06,12.5984
2009-02-09,-2.2378
2009-02-10,-9.5467
2009-02-11,-4.6292
2009-02-12,-1.99
2009-02-13,-3.3841
2009-02-17,-9.6322
2009-02-18,-5.0388
2009-02-19,-2.0408
2009-02-20,-12.0833
2009-02-23,-3.5545
2009-02-24,7.371
2009-02-25,1.8307
2009-02-26,-1.3483
2009-02-27,1.8223
2009-03-02,-27.2931
2009-03-03,-5.5385
2009-03-04,25.7329
2009-03-05,-19.4301
2009-03-06,6.7524
2009-03-09,0.3012
2009-03-10,19.8198
2009-03-11,12.0301
2009-03-12,-19.2394
2009-03-13,-3.6010999999999997
2009-03-16,5.7471
2009-03-17,0.8152
2009-03-18,4.3126999999999995
2009-03-19,0.0
2009-03-20,-17.3127
2009-03-23,14.6875
2009-03-24,-6.812
2009-03-25,6.4327
2009-03-26,3.022
2009-03-27,-4.8
2009-03-30,-13.4454
2009-03-31,8.0906
2009-04-01,5.3892
2009-04-02,8.5227
2009-04-03,-0.5236
2009-04-06,-6.5789
2009-04-07,-5.6338
2009-04-08,4.1791
2009-04-09,7.4499
2009-04-13,1.0667
2009-04-14,-1.0554
2009-04-15,1.6
2009-04-16,19.685
2009-04-17,9.6491
2009-04-20,-14.4
2009-04-21,8.8785
2009-04-22,-2.5751
2009-04-23,-5.0661
2009-04-24,-4.6404
2009-04-27,-7.5426
2009-04-28,8.9474
2009-04-29,-2.657
2009-04-30,4.2184
2009-05-01,-3.0952
2009-05-04,8.1081
2009-05-05,-2.7273
2009-05-06,6.5421
2009-05-07,1.9737
2009-05-08,0.2151
2009-05-11,-5.5794
2009-05-12,-5.6818
2009-05-13,-11.5663
2009-05-14,3.5422000000000002
2009-05-15,-1.8420999999999998
2009-05-18,5.63
2009-05-19,6.8528
2009-05-20,3.0849
2009-05-21,-3.9143
2009-05-22,-2.1583
2009-05-26,0.2451
2009-05-27,-0.0031
2009-05-28,0.2476
2009-05-29,0.4878
2009-06-01,3.6438
2009-06-02,-2.1106
2009-06-03,-5.7566
2009-06-04,-0.9995
2009-06-05,-0.2596
2009-06-08,-3.0817
2009-06-09,0.5305
2009-06-10,1.5831
2009-06-11,2.5974
2009-06-12,0.5063
2009-06-15,-3.2746
2009-06-16,-5.4688
2009-06-17,-4.6832
2009-06-18,-1.1561
2009-06-19,-1.1696
2009-06-22,-8.8757
2009-06-23,-2.9221
2009-06-24,10.7023
2009-06-25,1.2085
2009-06-26,-0.597
2009-06-29,-0.3003
2009-06-30,-2.4096
2009-07-01,-2.1605
2009-07-02,0.6309
2009-07-06,-4.0752
2009-07-07,1.3072
2009-07-08,-4.8387
2009-07-09,-0.678
2009-07-10,1.0239
2009-07-13,-0.3378
2009-07-14,4.7458
2009-07-15,4.2071
2009-07-16,1.8634
2009-07-17,-3.9634
2009-07-20,2.4444
2009-07-21,-0.5268
2009-07-22,4.9844
2009-07-23,7.4184
2009-07-24,3.0387
2009-07-27,8.8472
2009-07-28,-0.9852
2009-07-29,-7.7114
2009-07-30,2.4292
2009-07-31,0.523
2009-08-03,0.7853
2009-08-04,1.5584
2009-08-05,-1.7903
2009-08-06,-3.5937
2009-08-07,2.6471999999999998
2009-08-10,-1.3158
2009-08-11,-4.0
2009-08-12,0.8333
2009-08-13,0.0
2009-08-14,-3.0303
2009-08-17,-5.9658999999999995
2009-08-18,3.3233
2009-08-19,1.1696
2009-08-20,2.6012
2009-08-21,5.0704
2009-08-24,1.0724
2009-08-25,-1.8568
2009-08-26,-0.5405
2009-08-27,3.2609
2009-08-28,-2.3684
2009-08-31,1.0782
2009-09-01,-4.0
2009-09-02,-1.3889
2009-09-03,6.7606
2009-09-04,-3.1662
2009-09-08,1.0899
2009-09-09,1.8868
2009-09-10,-0.5291
2009-09-11,-1.8617
2009-09-14,6.2331
2009-09-15,10.2041
2009-09-16,28.935200000000002
2009-09-17,10.4129
2009-09-18,-3.252
2009-09-21,-8.5714
2009-09-22,1.2868
2009-09-23,-7.9855
2009-09-24,-8.0868
2009-09-25,-3.4335
2009-09-28,3.1111
2009-09-29,4.5259
2009-09-30,3.9175
2009-10-01,-7.3413
2009-10-02,0.6424
2009-10-05,3.4043
2009-10-06,2.4691
2009-10-07,-0.2008
2009-10-08,3.0181
2009-10-09,-2.5366
2009-10-12,1.6007
2009-10-13,-1.7751000000000001
2009-10-14,1.2248999999999999
2009-10-15,-0.0198
2009-10-16,0.1984
2009-10-19,-1.7822
2009-10-20,-0.6048
2009-10-21,-1.6227
2009-10-22,-1.8557000000000001
2009-10-23,-6.0924
2009-10-26,-1.3423
2009-10-27,-2.0408
2009-10-28,-7.4074
2009-10-29,5.75
2009-10-30,-3.3097
2009-11-02,-3.1785
2009-11-03,5.8081
2009-11-04,0.2387
2009-11-05,-0.3958
2009-11-06,-2.9492000000000003
2009-11-09,4.5813
2009-11-10,3.8625
2009-11-11,6.576
2009-11-12,-7.234
2009-11-13,0.9174
2009-11-16,-0.4545
2009-11-17,1.8265
2009-11-18,4.2600999999999996
2009-11-19,-5.5914
2009-11-20,0.6834
2009-11-23,0.6787
2009-11-24,0.8989
2009-11-25,0.8909
2009-11-27,-2.649
2009-11-30,-0.2268
2009-12-01,-1.3636
2009-12-02,-0.4608
2009-12-03,1.1574
2009-12-04,1.373
2009-12-07,1.1258
2009-12-08,-3.1223
2009-12-09,0.0
2009-12-10,4.1475
2009-12-11,-0.4425
2009-12-14,1.7778
2009-12-15,3.9301
2009-12-16,1.8908
2009-12-17,-4.3299
2009-12-18,0.2155
2009-12-21,-1.0753
2009-12-22,-2.1739
2009-12-23,1.7778
2009-12-24,-1.7467000000000001
2009-12-28,0.0
2009-12-29,1.1111
2009-12-30,-1.0989
2009-12-31,-0.8889
2010-01-04,2.6906
2010-01-05,3.2751
2010-01-06,2.7484
2010-01-07,0.6173
2010-01-08,0.6135
2010-01-11,-1.4228
2010-01-12,-1.6495
2010-01-13,0.8386
2010-01-14,1.0395
2010-01-15,-0.2058
2010-01-19,1.4433
2010-01-20,-4.065
2010-01-21,1.6949
2010-01-22,-0.625
2010-01-25,1.4675
2010-01-26,-1.2423
2010-01-27,-3.3448
2010-01-28,-0.6494
2010-01-29,0.4357
2010-02-01,1.0846
2010-02-02,0.8584
2010-02-03,-2.1277
2010-02-04,-4.5652
2010-02-05,-6.1503
2010-02-08,1.2136
2010-02-09,1.4388
2010-02-10,-4.2553
2010-02-11,0.7407
2010-02-12,-1.2255
2010-02-16,2.4814
