ticker,OPTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-20,0.0
2016-09-21,-46.6667
2016-09-28,25.0
2016-10-03,0.0
2016-10-25,0.0
2016-11-01,0.0
2016-11-04,0.0
2016-11-10,0.0
2016-12-23,700.0
2016-12-28,-87.5
2016-12-29,-12.0
2016-12-30,13.6364
2017-01-03,50.0
2017-01-04,66.6667
2017-01-05,3060.0
2017-01-06,-98.1013
2017-01-18,0.0
2017-02-08,-46.6667
2017-02-27,25.0
2017-03-06,0.0
2017-04-06,0.0
2017-04-17,-20.0
2017-05-22,25.0
2017-06-30,-20.0
2017-08-04,0.0
2017-08-18,0.0
2017-08-22,0.0
2017-08-29,0.0
2017-09-29,0.0
2017-10-05,0.0
2017-10-11,0.0
2017-11-13,500.0
2017-12-14,-83.3333
2017-12-15,0.0
2017-12-29,-99.0
2018-01-05,9900.0
2018-01-08,300.0
2018-01-09,0.0
2018-01-23,-75.0
2018-02-01,0.0
2018-02-02,200.0
2018-02-09,-33.3333
2018-02-21,0.0
2018-02-22,50.0
2018-03-15,0.0
2018-04-09,66.6667
2018-05-02,-60.0
2018-05-17,50.0
2018-07-19,0.0
2018-07-20,36.6667
2018-07-31,-2.439
2018-08-08,25.0
2018-08-23,-30.0
2018-08-27,-14.2857
2018-09-07,0.0
2018-09-11,0.0
2018-10-11,0.0
2018-10-12,-33.3333
2018-10-15,40.0
2018-10-30,7.1429
2018-11-01,100.0
2018-11-13,-16.6667
2018-11-16,20.0
2018-12-12,-50.0
2018-12-18,0.0
2019-01-17,33.3333
2019-02-04,25.0
2019-03-06,0.0
2019-03-11,-40.0
2019-05-23,0.0
2019-05-29,33.3333
2019-06-12,0.0
2019-07-02,12.5
2019-08-01,-33.3333
2019-08-02,-66.6667
2019-08-05,100.0
2019-08-28,50.0
2019-10-16,-33.3333
2019-10-23,100.0
2019-10-25,-50.0
2019-10-28,175.0
2019-11-01,-63.6364
2019-11-05,125.0
2019-11-14,544.4444
2019-12-11,-96.5517
2019-12-13,450.0
2019-12-16,-81.8182
2019-12-27,0.0
2020-01-02,450.0
2020-01-03,-81.8182
2020-01-14,100.0
2020-01-27,-50.0
2020-02-14,0.0
2020-02-21,300.0
2020-02-27,-75.0
2020-03-18,0.0
2020-05-15,600.0
2020-06-04,42.8571
2020-06-19,-10.0
2020-07-06,0.0
2020-07-28,0.0
