ticker,SM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-30,-3.4012000000000002
2017-01-31,-8.1854
2017-02-01,-2.1632
2017-02-02,1.675
2017-02-03,-1.7792
2017-02-06,-3.5894
2017-02-07,-2.4008
2017-02-08,0.3922
2017-02-09,-0.071
2017-02-10,3.0206
2017-02-13,-2.0007
2017-02-14,-1.056
2017-02-15,-1.7076
2017-02-16,-1.8820000000000001
2017-02-17,-0.4426
2017-02-21,5.076
2017-02-22,-2.6798
2017-02-23,-5.2536
2017-02-24,-3.7859
2017-02-27,0.6359
2017-02-28,-2.6461
2017-03-01,4.0162
2017-03-02,-2.2231
2017-03-03,-2.7124
2017-03-06,2.378
2017-03-07,-0.7609
2017-03-08,-9.3624
2017-03-09,0.1781
2017-03-10,-0.4444
2017-03-13,-2.1875
2017-03-14,-2.4646
2017-03-15,3.8839
2017-03-16,-3.018
2017-03-17,-1.2076
2017-03-20,1.4575
2017-03-21,-3.8462
2017-03-22,0.241
2017-03-23,1.3942
2017-03-24,-1.3276
2017-03-27,5.334
2017-03-28,5.2007
2017-03-29,2.0815
2017-03-30,-0.8071
2017-03-31,2.8693999999999997
2017-04-03,-1.0408
2017-04-04,0.9255
2017-04-05,-4.5436
2017-04-06,1.8340999999999998
2017-04-07,-1.2864
2017-04-10,2.7802
2017-04-11,-0.2536
2017-04-12,-1.7372999999999998
2017-04-13,-1.7248999999999999
2017-04-17,1.7113
2017-04-18,-0.906
2017-04-19,-5.2677
2017-04-20,-1.3819
2017-04-21,0.4671
2017-04-24,1.7666
2017-04-25,5.2992
2017-04-26,-0.4338
2017-04-27,-1.0893
2017-04-28,-0.4846
2017-05-01,-0.1771
2017-05-02,-2.0399
2017-05-03,-2.852
2017-05-04,-6.6636
2017-05-05,5.6915
2017-05-08,3.1649
2017-05-09,-0.87
2017-05-10,0.0
2017-05-11,-1.7551999999999999
2017-05-12,0.094
2017-05-15,1.6440000000000001
2017-05-16,-4.159
2017-05-17,0.7715
2017-05-18,-1.244
2017-05-19,3.876
2017-05-22,-4.1045
2017-05-23,0.7296
2017-05-24,-1.1589
2017-05-25,-5.2272
2017-05-26,-2.8350999999999997
2017-05-30,-7.9576
2017-05-31,-2.1902
2017-06-01,-0.825
2017-06-02,2.1390000000000002
2017-06-05,4.014
2017-06-06,6.5996
2017-06-07,-12.1721
2017-06-08,-1.9713
2017-06-09,7.0689
2017-06-12,0.2846
2017-06-13,10.7832
2017-06-14,-11.3217
2017-06-15,-7.5100999999999996
2017-06-16,-2.5609
2017-06-19,0.4487
2017-06-20,0.1914
2017-06-21,-8.4076
2017-06-22,-1.9471
2017-06-23,5.1773
2017-06-26,3.0344
2017-06-27,0.7853
2017-06-28,1.7532
2017-06-29,2.0421
2017-06-30,3.3771
2017-07-03,6.0496
2017-07-05,-6.332
2017-07-06,-4.324
2017-07-07,-2.9281
2017-07-10,3.8033
2017-07-11,2.211
2017-07-12,2.7194000000000003
2017-07-13,3.4898
2017-07-14,-0.7558
2017-07-17,1.0545
2017-07-18,-0.8116
2017-07-19,6.8966
2017-07-20,-4.866
2017-07-21,-0.4023
2017-07-24,-4.9048
2017-07-25,7.3422
2017-07-26,1.1306
2017-07-27,0.3913
2017-07-28,0.6682
2017-07-31,-3.8164
2017-08-01,-1.3226
2017-08-02,-5.3613
2017-08-03,-5.6034
2017-08-04,-0.4566
2017-08-07,-5.4391
2017-08-08,2.0097
2017-08-09,-0.0679
2017-08-10,-1.5636
2017-08-11,-0.6215
2017-08-14,-0.5559
2017-08-15,0.0
2017-08-16,-4.3326
2017-08-17,-2.3375
2017-08-18,3.7397
2017-08-21,-2.3071
2017-08-22,-1.476
2017-08-23,1.9476
2017-08-24,-0.5878
2017-08-25,0.0739
2017-08-28,-2.7326
2017-08-29,-2.5057
2017-08-30,-0.3894
2017-08-31,4.4566
2017-09-01,2.8443
2017-09-05,-2.1834
2017-09-06,6.0268
2017-09-07,0.6316
2017-09-08,-4.8815
2017-09-11,1.6862
2017-09-12,5.912
2017-09-13,6.8074
2017-09-14,0.1912
2017-09-15,-0.7634
2017-09-18,4.0385
2017-09-19,-2.2181
2017-09-20,4.3478
2017-09-21,-0.1208
2017-09-22,0.4232
2017-09-25,6.6827
2017-09-26,5.9254999999999995
2017-09-27,0.0
2017-09-28,-2.0245
2017-09-29,-3.5345
2017-10-02,-0.2818
2017-10-03,1.6959
2017-10-04,-0.2779
2017-10-05,2.4526
2017-10-06,-7.617
2017-10-09,2.2379
2017-10-10,2.9954
2017-10-11,4.8098
2017-10-12,-0.587
2017-10-13,2.2008
2017-10-16,1.1029
2017-10-17,-0.6753
2017-10-18,-2.6151
2017-10-19,-1.7723
2017-10-20,0.932
2017-10-23,-3.3134
2017-10-24,1.236
2017-10-25,0.6104
2017-10-26,-1.3789
2017-10-27,7.3266
2017-10-30,5.1068
2017-10-31,5.7511
2017-11-01,2.5785
2017-11-02,-1.3711
2017-11-03,1.0658
2017-11-06,3.1637
2017-11-07,-2.9778000000000002
2017-11-08,-5.1306
2017-11-09,6.9049
2017-11-10,-1.4453
2017-11-13,-4.4455
2017-11-14,-5.7074
2017-11-15,-0.6104
2017-11-16,0.1535
2017-11-17,3.6791
2017-11-20,-1.035
2017-11-21,-0.1494
2017-11-22,4.9875
2017-11-24,-0.4276
2017-11-27,-7.2519
2017-11-28,-1.8004
2017-11-29,0.8381
2017-11-30,7.2208
2017-12-01,8.1395
2017-12-04,0.3584
2017-12-05,-2.3661
2017-12-06,-1.6918
2017-12-07,1.4419
2017-12-08,0.0459
2017-12-11,0.4583
2017-12-12,-1.688
2017-12-13,-5.8933
2017-12-14,-2.9586
2017-12-15,-1.7276
2017-12-18,4.7053
2017-12-19,0.5432
2017-12-20,3.4872
2017-12-21,4.1291
2017-12-22,-0.3646
2017-12-26,4.9405
2017-12-27,-2.0924
2017-12-28,0.5788
2017-12-29,-2.2576
2018-01-02,5.3442
2018-01-03,3.5684
2018-01-04,0.7057
2018-01-05,-0.4534
2018-01-08,3.9337
2018-01-09,4.2231
2018-01-10,2.7904999999999998
2018-01-11,-0.7066
2018-01-12,0.5243
2018-01-16,-1.006
2018-01-17,0.1882
2018-01-18,-3.4936
2018-01-19,-1.4402
2018-01-22,4.6209
2018-01-23,-1.0193
2018-01-24,0.4195
2018-01-25,-1.9748999999999999
2018-01-26,-1.5497999999999998
2018-01-29,-1.2593
2018-01-30,-7.2937
2018-01-31,0.3869
2018-02-01,2.3555
2018-02-02,-3.5564999999999998
2018-02-05,-3.3839
2018-02-06,3.5474
2018-02-07,-3.4258
2018-02-08,-6.3763
2018-02-09,-2.446
2018-02-12,5.8997
2018-02-13,-4.9675
2018-02-14,4.6898
2018-02-15,1.0733
2018-02-16,0.8772
2018-02-20,-0.0458
2018-02-21,-2.4725
2018-02-22,-9.3427
2018-02-23,3.9876
2018-02-26,1.7928
2018-02-27,-6.1644
2018-02-28,-4.3796
2018-03-01,-0.1636
2018-03-02,2.8946
2018-03-05,2.8132
2018-03-06,-5.937
2018-03-07,-2.854
2018-03-08,-0.2825
2018-03-09,2.6629
2018-03-12,1.1038000000000001
2018-03-13,-0.2183
2018-03-14,-2.0788
2018-03-15,-1.8994
2018-03-16,1.9931999999999999
2018-03-19,-3.8526
2018-03-20,1.1034
2018-03-21,8.6157
2018-03-22,-1.5335999999999999
2018-03-23,-0.2148
2018-03-26,-0.0538
2018-03-27,-1.0232
2018-03-28,-5.0598
2018-03-29,3.3238
2018-04-02,-8.5413
2018-04-03,1.8193000000000001
2018-04-04,2.6206
2018-04-05,5.9779
2018-04-06,-1.8072
2018-04-09,-1.1154
2018-04-10,8.7986
2018-04-11,3.7325
2018-04-12,1.4493
2018-04-13,2.4631
2018-04-16,-0.9615
2018-04-17,1.0194
2018-04-18,4.5651
2018-04-19,0.2298
2018-04-20,1.6048
2018-04-23,0.9025
2018-04-24,2.102
2018-04-25,1.9710999999999999
2018-04-26,0.7732
2018-04-27,0.0427
2018-04-30,2.263
2018-05-01,-1.7119
2018-05-02,1.4019
2018-05-03,-3.3515
2018-05-04,2.5141
2018-05-07,0.3383
2018-05-08,2.1913
2018-05-09,1.9381
2018-05-10,1.4968
2018-05-11,-1.7934999999999999
2018-05-14,0.7711
2018-05-15,1.4499
2018-05-16,1.0719
2018-05-17,4.0848
2018-05-18,0.5283
2018-05-21,2.027
2018-05-22,-2.0603
2018-05-23,-0.263
2018-05-24,-2.4859
2018-05-25,-4.7895
2018-05-29,2.5558
2018-05-30,5.2215
2018-05-31,-1.5038
2018-06-01,-11.4885
2018-06-04,-7.9345
2018-06-05,2.904
2018-06-06,1.4565000000000001
2018-06-07,6.7295
2018-06-08,0.3363
2018-06-11,1.0473
2018-06-12,2.8192
2018-06-13,0.121
2018-06-14,-1.611
2018-06-15,-4.8711
2018-06-18,4.1738
2018-06-19,1.487
2018-06-20,2.3199
2018-06-21,-4.8528
2018-06-22,6.689
2018-06-25,-2.4687
2018-06-26,2.9329
2018-06-27,3.9813
2018-06-28,-1.6892
2018-06-29,-1.9091
2018-07-02,-2.0241
2018-07-03,2.066
2018-07-05,0.5839
2018-07-06,3.7926
2018-07-09,3.2066
2018-07-10,0.2168
2018-07-11,-2.7758000000000003
2018-07-12,-1.2236
2018-07-13,-0.8258
2018-07-16,-1.4005
2018-07-17,0.2303
2018-07-18,1.3788
2018-07-19,0.2267
2018-07-20,0.3392
2018-07-23,-0.263
2018-07-24,1.0169
2018-07-25,2.5354
2018-07-26,0.1091
2018-07-27,-3.5598
2018-07-30,4.3690999999999995
2018-07-31,-0.7218
2018-08-01,-2.0356
2018-08-02,5.7143
2018-08-03,-0.5616
2018-08-06,1.6943000000000001
2018-08-07,0.2083
2018-08-08,-4.5029
2018-08-09,-0.0363
2018-08-10,2.9028
2018-08-13,-3.2087
2018-08-14,2.7321999999999997
2018-08-15,-5.4965
2018-08-16,2.1013
2018-08-17,0.6615
2018-08-20,3.0668
2018-08-21,3.3298
2018-08-22,2.3312
2018-08-23,0.1005
2018-08-24,1.7067999999999999
2018-08-27,-0.1316
