ticker,ALDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-24,-2.3234
2016-08-25,-1.2821
2016-08-26,0.7421
2016-08-29,1.105
2016-08-30,4.1746
2016-08-31,-3.1330999999999998
2016-09-01,-3.0686
2016-09-02,0.0
2016-09-06,8.1937
2016-09-07,-3.9587
2016-09-08,0.0
2016-09-09,3.4050000000000002
2016-09-12,-4.1594
2016-09-13,1.6275
2016-09-14,5.8719
2016-09-15,2.6891
2016-09-16,10.1473
2016-09-19,2.0802
2016-09-20,6.9869
2016-09-21,-0.9524
2016-09-22,0.9615
2016-09-23,1.3605
2016-09-26,3.3557
2016-09-27,0.6494
2016-09-28,-3.3548
2016-09-29,0.4005
2016-09-30,3.9894
2016-10-03,-4.3478
2016-10-04,-2.0053
2016-10-05,2.4557
2016-10-06,-5.7257
2016-10-07,2.4011
2016-10-10,0.5517
2016-10-11,-0.823
2016-10-12,-2.4896
2016-10-13,-1.7021
2016-10-14,0.0
2016-10-17,-1.1544
2016-10-18,-1.6058
2016-10-19,3.9318
2016-10-20,-0.9279
2016-10-21,-1.8732
2016-10-24,0.7342
2016-10-25,-2.6239
2016-10-26,-12.5749
2016-10-27,-2.3973
2016-10-28,-7.8947
2016-10-31,0.0
2016-11-01,2.8571
2016-11-02,-1.8519
2016-11-03,-1.8868
2016-11-04,1.9231
2016-11-07,12.2642
2016-11-08,3.3613
2016-11-09,0.813
2016-11-10,2.4194
2016-11-11,-0.3937
2016-11-14,8.3004
2016-11-15,-5.1095
2016-11-16,-2.3077
2016-11-17,-9.4488
2016-11-18,6.087
2016-11-21,3.2787
2016-11-22,-6.3492
2016-11-23,0.8475
2016-11-25,-0.8403
2016-11-28,-5.9322
2016-11-29,-1.8018
2016-11-30,-5.5046
2016-12-01,-1.9417
2016-12-02,4.9505
2016-12-05,0.0
2016-12-06,2.8302
2016-12-07,-4.5872
2016-12-08,-3.8462
2016-12-09,-4.0
2016-12-12,-2.0833
2016-12-13,5.3191
2016-12-14,-1.0101
2016-12-15,-2.0408
2016-12-16,-3.125
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,2.4691
2016-12-22,-1.3602
2016-12-23,3.1915
2016-12-27,-1.0309
2016-12-28,4.1667
2016-12-29,-4.0
2016-12-30,11.4583
2017-01-03,-4.6729
2017-01-04,0.9804
2017-01-05,2.9126
2017-01-06,2.8302
2017-01-09,-5.5046
2017-01-10,1.9417
2017-01-11,0.9524
2017-01-12,-1.8868
2017-01-13,2.8846
2017-01-17,-3.7382999999999997
2017-01-18,2.9126
