ticker,BWVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-30,6.6667
2018-10-31,-6.25
2018-11-02,6.6667
2018-11-05,0.0
2018-11-07,-12.5
2018-11-09,9.9286
2018-11-14,0.7147
2018-11-16,0.0
2018-11-19,-3.2258
2018-11-20,-1.6667
2018-11-23,-6.0847
2018-11-26,-0.018
2018-11-27,0.0
2018-11-28,0.0
2018-11-29,0.0
2018-11-30,-6.1372
2018-12-03,-10.9231
2018-12-04,18.7608
2018-12-06,-4.8537
2018-12-07,-0.6496
2018-12-10,15.3846
2018-12-11,6.6667
2018-12-12,0.0
2018-12-14,-0.7813
2018-12-17,-18.1102
2018-12-18,-6.5385
2018-12-20,22.5556
2018-12-21,-7.3235
2018-12-26,5.5435
2018-12-27,2.9866
2018-12-28,20.0
2018-12-31,5.5556
2019-01-02,-0.5263
2019-01-03,-16.4021
2019-01-04,17.0886
2019-01-07,1.0811
2019-01-09,0.5348
2019-01-10,-0.5319
2019-01-11,0.0
2019-01-14,11.5508
2019-01-15,-17.3058
2019-01-16,24.6377
2019-01-17,6.9767
2019-01-18,2.3913
2019-01-22,-17.3248
2019-01-23,-9.6045
2019-01-24,0.0
2019-01-25,17.6705
2019-01-28,15.4032
2019-01-29,-12.3431
2019-01-30,0.2387
2019-01-31,0.0
2019-02-01,-4.7619
2019-02-04,-1.1
2019-02-05,6.1678
2019-02-06,-4.7619
2019-02-07,5.0
2019-02-08,0.0
2019-02-11,-1.4048
2019-02-12,-3.8879
2019-02-13,-0.402
2019-02-14,-0.555
2019-02-19,-0.5074
2019-02-20,1.4788000000000001
2019-02-21,-19.598
2019-02-22,24.375
2019-02-25,-14.5729
2019-02-26,11.7647
2019-02-27,5.2632
2019-02-28,0.0
2019-03-01,2.5
2019-03-04,-2.439
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,-15.0
2019-03-12,17.647100000000002
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-18,-15.0
2019-03-19,16.0882
2019-03-20,0.1444
2019-03-21,-13.9828
2019-03-22,17.0
2019-03-25,-2.4133
2019-03-27,-12.4163
2019-03-28,17.0588
2019-03-29,-9.5477
2019-04-01,0.0
2019-04-02,0.0
2019-04-04,-22.2222
2019-04-05,7.1429
2019-04-08,2.1667
2019-04-09,-28.2219
2019-04-10,36.3636
2019-04-11,-16.2333
2019-04-12,-0.5173
2019-04-15,-1.276
2019-04-16,-2.7592
2019-04-17,-14.9167
2019-04-18,-2.0568
2019-04-22,0.0
2019-04-23,-10.0
2019-04-24,-9.1111
2019-04-25,44.0098
2019-04-26,9.5925
2019-04-29,-26.4136
2019-04-30,0.0
2019-05-01,-10.526299999999999
2019-05-02,6.8235
2019-05-03,2.4229
2019-05-06,-8.6022
2019-05-07,0.0
2019-05-08,5.8824
2019-05-09,-11.1111
2019-05-10,0.5
2019-05-13,-12.9353
2019-05-14,7.1429
2019-05-15,-6.6667
2019-05-16,18.1429
2019-05-17,18.2588
2019-05-20,-3.8855
2019-05-22,-4.2553
2019-05-23,-15.8333
2019-05-28,18.8119
2019-05-29,-16.6667
2019-05-30,12.6667
2019-05-31,-35.9763
2019-06-03,29.39
2019-06-04,1.4285999999999999
2019-06-05,3.9436999999999998
2019-06-06,-0.332
2019-06-07,0.469
2019-06-10,-2.3004
2019-06-11,-4.4321
2019-06-12,9.4203
2019-06-13,25.8278
2019-06-14,-5.2632
2019-06-17,-11.1111
2019-06-18,-16.75
2019-06-19,12.6126
2019-06-20,-8.4
2019-06-24,0.4367
2019-06-25,15.942
2019-06-26,-21.875
2019-06-27,0.0
2019-06-28,12.0
2019-07-01,-10.0
2019-07-02,1.5873
2019-07-09,9.375
2019-07-10,-5.7143
2019-07-11,-22.5758
2019-07-12,27.2016
2019-07-15,-18.4692
2019-07-17,3.7834
2019-07-18,-9.0909
2019-07-19,48.0
2019-07-22,24.1892
2019-07-23,-32.5354
2019-07-24,50.0
2019-07-25,7.5269
2019-07-26,0.0
2019-07-29,-28.4
2019-07-30,9.0782
2019-07-31,-2.7081
2019-08-01,-18.4049
2019-08-02,-0.8065
2019-08-05,28.4553
2019-08-06,-24.0506
2019-08-07,-13.3333
2019-08-08,15.4808
2019-08-09,-0.0833
2019-08-12,-1.6667
2019-08-13,-15.9186
2019-08-14,-1.2256
2019-08-15,2.0408
2019-08-16,20.8
2019-08-19,-2.1523
2019-08-20,-15.3976
2019-08-21,0.0
2019-08-22,40.0
2019-08-23,-9.1429
2019-08-26,52.3585
2019-08-27,-40.1445
2019-08-28,4.8276
2019-08-29,15.1316
2019-08-30,37.1429
2019-09-03,-21.875
2019-09-04,2.6667
2019-09-05,27.2727
2019-09-06,-18.3673
2019-09-09,0.0
2019-09-10,0.0
