ticker,RACE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-05,1.4932
2018-07-06,-0.4267
2018-07-09,0.7535
2018-07-10,0.9679
2018-07-11,-1.0821
2018-07-12,2.5329
2018-07-13,2.0407
2018-07-16,-0.3579
2018-07-17,1.1831
2018-07-18,-0.4524
2018-07-19,-0.3566
2018-07-20,-1.7682
2018-07-23,-2.5071
2018-07-24,-2.3738
2018-07-25,0.9531
2018-07-26,-2.1484
2018-07-27,-0.0228
2018-07-30,-0.8359
2018-07-31,1.6245
2018-08-01,-11.024
2018-08-02,6.9322
2018-08-03,-1.062
2018-08-06,-0.6809
2018-08-07,0.9194
2018-08-08,0.5674
2018-08-09,-1.5973000000000002
2018-08-10,-2.5842
2018-08-13,1.1357
2018-08-14,-0.8197
2018-08-15,-1.4628
2018-08-16,1.0652
2018-08-17,0.249
2018-08-20,2.1109
2018-08-21,2.4159
2018-08-22,-0.9816
2018-08-23,-0.2398
2018-08-24,2.1877
2018-08-27,0.5332
2018-08-28,1.4353
2018-08-29,3.199
2018-08-30,-0.9463
2018-08-31,-1.3841999999999999
2018-09-04,-1.9146999999999998
2018-09-05,-1.1433
2018-09-06,-0.535
2018-09-07,0.3401
2018-09-10,-0.0946
2018-09-11,2.2092
2018-09-12,2.5089
2018-09-13,0.497
2018-09-14,-0.9816
2018-09-17,0.4995
2018-09-18,4.1566
2018-09-19,-1.8146
2018-09-20,1.0898
2018-09-21,0.1311
2018-09-24,1.113
2018-09-25,0.0288
2018-09-26,1.2586
2018-09-27,-0.4262
2018-09-28,-2.3397
2018-10-01,0.6281
2018-10-02,-0.1452
2018-10-03,-1.2793
2018-10-04,-2.0249
2018-10-05,-0.5862
2018-10-08,-1.9655
2018-10-09,-0.5629
2018-10-10,-8.7786
2018-10-11,-1.7768000000000002
2018-10-12,0.6578
2018-10-15,-1.1092
2018-10-16,5.8604
2018-10-17,-2.3162
2018-10-18,-3.9351000000000003
2018-10-19,1.9781
2018-10-22,-0.1974
2018-10-23,-0.86
2018-10-24,-3.0274
2018-10-25,3.2114
2018-10-26,0.6847
2018-10-29,-0.9899
2018-10-30,1.0955
2018-10-31,0.7138
2018-11-01,2.4507
2018-11-02,-0.3751
2018-11-05,-1.6314
2018-11-06,-1.3523
2018-11-07,0.069
2018-11-08,-1.6111
2018-11-09,-3.6165000000000003
2018-11-12,-3.3161
2018-11-13,2.9976000000000003
2018-11-14,1.0857
2018-11-15,0.9025
2018-11-16,-0.9481
2018-11-19,-1.7338
2018-11-20,-3.2898
2018-11-21,1.4158
2018-11-23,-0.0656
2018-11-26,2.4002
2018-11-27,-4.0743
2018-11-28,3.3979
2018-11-29,0.8123
2018-11-30,0.3571
2018-12-03,1.8978000000000002
2018-12-04,-2.9638
2018-12-06,-0.7751
2018-12-07,-2.5016
