ticker,IESC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-24,0.0
2013-10-25,-3.0172
2013-10-28,-2.4444
2013-10-29,6.3781
2013-10-30,-2.7837
2013-10-31,2.6432
2013-11-01,-3.8627000000000002
2013-11-04,0.0
2013-11-05,0.0
2013-11-06,2.0089
2013-11-07,-4.5952
2013-11-08,2.5229
2013-11-11,4.698
2013-11-12,0.641
2013-11-13,2.5478
2013-11-14,5.7971
2013-11-15,-4.8924
2013-11-18,-1.0288
2013-11-19,2.079
2013-11-20,-5.9063
2013-11-21,-3.2468
2013-11-22,-1.1186
2013-11-25,-0.6787
2013-11-26,6.1503
2013-11-27,0.8584
2013-11-29,1.9149
2013-12-02,-4.5929
2013-12-03,-0.4376
2013-12-04,2.4176
2013-12-05,-1.2876
2013-12-06,3.9130000000000003
2013-12-09,2.5105
2013-12-10,3.0612
2013-12-11,1.3860999999999999
2013-12-12,0.3906
2013-12-13,0.9728
2013-12-16,-1.1561
2013-12-17,-0.3899
2013-12-18,5.8708
2013-12-19,-2.2181
2013-12-20,-2.4575
2013-12-23,-2.1318
2013-12-24,0.7921
2013-12-26,-2.3576
2013-12-27,9.4567
2013-12-30,-1.8382
2013-12-31,0.9363
2014-01-02,1.1132
2014-01-03,8.2569
2014-01-06,2.2034
2014-01-07,-6.7993
2014-01-08,4.2705
2014-01-09,1.8771
2014-01-10,0.335
2014-01-13,-5.1753
2014-01-14,3.169
2014-01-15,3.413
2014-01-16,0.165
2014-01-17,1.6474
2014-01-21,2.5932
2014-01-22,-0.316
2014-01-23,-2.3772
2014-01-24,-0.1623
2014-01-27,7.1545
2014-01-28,-5.3111
2014-01-29,-1.9231
2014-01-30,1.3072
2014-01-31,-1.6129
2014-02-03,0.9836
2014-02-04,1.461
2014-02-05,-4.8
2014-02-06,2.1849
2014-02-07,1.1513
2014-02-10,3.4146
2014-02-11,-2.9874
2014-02-12,0.3241
2014-02-13,2.9079
2014-02-14,1.0989
2014-02-18,-1.2422
2014-02-19,0.7862
2014-02-20,0.156
2014-02-21,-5.9190000000000005
2014-02-24,-3.9735
2014-02-25,-8.1034
2014-02-26,2.6266
2014-02-27,-2.925
2014-02-28,3.0132
2014-03-03,-3.6563
2014-03-04,1.7078
2014-03-05,5.2239
2014-03-06,12.9433
2014-03-07,0.157
2014-03-10,-2.6646
2014-03-11,0.8052
2014-03-12,2.2364
2014-03-13,-2.1875
2014-03-14,-0.4792
2014-03-17,-0.4815
2014-03-18,0.0
2014-03-19,-2.2580999999999998
2014-03-20,3.7954
2014-03-21,2.8617
2014-03-24,-3.2457
2014-03-25,0.0
2014-03-26,-0.2396
2014-03-27,-1.8415
2014-03-28,1.9576
2014-03-31,-0.64
2014-04-01,-0.3221
2014-04-02,4.0388
2014-04-03,0.0
2014-04-04,-4.6584
2014-04-07,-0.8143
2014-04-08,1.4778
2014-04-09,3.8834999999999997
2014-04-10,0.4673
2014-04-11,-0.4651
2014-04-14,0.1558
2014-04-15,-2.9549
2014-04-16,3.3654
2014-04-17,-0.7752
2014-04-21,0.7813
2014-04-22,1.2403
2014-04-24,3.0628
2014-04-25,-3.5661
2014-04-28,-3.0817
2014-04-29,0.9539
2014-04-30,-2.2047
2014-05-01,-1.2882
2014-05-02,0.8157
2014-05-05,-1.7799
2014-05-06,-3.6244
2014-05-07,3.9316
2014-05-08,4.4408
2014-05-09,3.4646
2014-05-12,-4.8706
2014-05-13,4.0
2014-05-14,-3.4404
2014-05-15,4.5189
2014-05-16,3.6585
2014-05-19,0.7353
2014-05-20,0.0
2014-05-21,0.292
2014-05-22,-0.1456
2014-05-23,-0.7289
2014-05-27,0.0
2014-05-28,-0.1468
2014-05-29,0.5882
2014-05-30,-1.1696
2014-06-02,1.324
2014-06-03,-6.4165
2014-06-04,-2.3401
2014-06-05,-0.4792
2014-06-06,5.297
2014-06-09,-8.5366
2014-06-10,1.3333
2014-06-11,-1.3158
2014-06-12,-0.8333
2014-06-13,2.3529
2014-06-16,0.977
2014-06-17,-1.6179999999999999
2014-06-18,3.3058
2014-06-19,-2.7279999999999998
2014-06-20,2.64
2014-06-23,-1.1218
2014-06-24,-1.9449
2014-06-25,0.4959
2014-06-26,3.4539
2014-06-27,0.9539
2014-06-30,5.0394
2014-07-01,-0.4498
2014-07-02,2.7312
2014-07-03,-1.5244
2014-07-07,-2.0124
2014-07-08,1.8957000000000002
2014-07-09,-1.938
2014-07-10,1.502
2014-07-11,-1.8692
2014-07-14,6.9841
2014-07-15,3.2641
2014-07-16,-2.588
2014-07-17,-2.8006
2014-07-18,-1.6692
2014-07-21,-0.4649
2014-07-22,-1.1609
2014-07-23,1.1764999999999999
2014-07-24,-1.3953
2014-07-25,-1.4151
2014-07-28,2.7033
2014-07-29,-1.8557000000000001
2014-07-30,2.6898999999999997
2014-07-31,-1.6949
2014-08-01,-3.7618
2014-08-04,4.7231
2014-08-05,-1.5552000000000001
2014-08-06,0.9479
2014-08-07,0.0
2014-08-08,3.4429
2014-08-11,0.6051
2014-08-12,4.812
2014-08-13,0.1435
2014-08-14,-0.4298
2014-08-15,1.5827
2014-08-18,2.3371
2014-08-19,0.2076
2014-08-20,-0.9669
2014-08-21,-0.8368
2014-08-22,7.0323
2014-08-25,1.3141
2014-08-26,-1.8174000000000001
2014-08-27,-2.6404
2014-08-28,3.3243
2014-08-29,0.0657
2014-09-02,0.0
2014-09-03,3.0184
2014-09-04,1.2102
2014-09-05,1.5733000000000001
2014-09-08,0.7435
2014-09-09,-0.123
2014-09-10,-1.7241
2014-09-11,-1.5038
2014-09-12,-3.0534
2014-09-15,-4.4619
2014-09-16,3.5697
2014-09-17,-0.131
2014-09-18,-0.3984
2014-09-19,0.2667
