ticker,GBGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-04,0.0
2010-05-07,-0.7143
2010-05-10,0.7194
2010-05-19,-14.2857
2010-05-20,0.0
2010-05-24,-25.0
2010-05-25,33.3333
2010-05-26,0.0
2010-06-01,0.0
2010-06-03,0.0
2010-06-07,-8.3333
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,-18.1818
2010-06-14,-16.6667
2010-06-16,-33.3333
2010-06-17,100.0
2010-06-21,0.0
2010-06-23,-40.0
2010-06-24,66.6667
2010-06-28,-35.0
2010-06-30,53.8462
2010-07-06,15.0
2010-07-07,-4.3478
2010-07-08,-9.0909
2010-07-09,0.0
2010-07-14,0.0
2010-07-15,0.0
2010-07-19,19.0
2010-07-21,0.0
2010-07-22,21.8487
2010-07-23,-6.8966
2010-07-30,-7.4074
2010-08-03,-29.6
2010-08-04,40.9091
2010-08-09,-51.6129
2010-08-10,-16.6667
2010-08-11,69.625
2010-08-12,-5.6743
2010-08-13,0.0
2010-08-16,-12.5
2010-08-18,14.2857
2010-08-19,-18.75
2010-08-20,38.2692
2010-08-24,0.0
2010-08-26,0.0
2010-09-03,0.1391
2010-09-17,33.3333
2010-09-20,25.0
2010-09-24,-14.0
2010-09-28,-14.7287
2010-09-30,9.0909
2010-10-04,-25.0
2010-10-05,33.3333
2010-10-07,0.0
2010-10-08,-8.3333
2010-10-11,-9.0909
2010-10-13,30.0
2010-10-14,-23.0769
2010-10-18,40.0
2010-10-19,-14.2857
2010-10-20,25.0
2010-10-21,-6.6667
2010-10-22,7.1429
2010-10-25,85.3333
2010-10-26,-24.4604
2010-10-27,-2.3810000000000002
2010-10-28,4.878
2010-10-29,6.9767
2010-11-01,8.6957
2010-11-02,0.4
2010-11-03,-0.3984
2010-11-04,-8.0
2010-11-05,-10.4348
2010-11-08,18.4466
2010-11-09,-5.7377
2010-11-10,0.0
2010-11-11,-6.4674
2010-11-12,-2.3823
2010-11-15,-4.7619
2010-11-16,2.5
2010-11-17,-2.439
2010-11-18,0.0
2010-11-19,0.0
2010-11-22,0.0
2010-11-23,0.0
2010-11-24,5.0
2010-11-26,-4.7619
2010-11-29,5.0
2010-11-30,4.7619
2010-12-01,-9.0909
2010-12-02,0.0
2010-12-03,20.0
2010-12-06,0.0
2010-12-07,-8.3333
2010-12-08,-2.2727
2010-12-09,-6.9767
2010-12-10,0.0
2010-12-13,5.0
2010-12-14,4.7619
2010-12-15,0.0
2010-12-16,0.0
2010-12-20,4.5455
2010-12-21,4.3478
2010-12-22,2.0833
2010-12-23,-2.0408
2010-12-27,2.0833
2010-12-28,-2.0408
2010-12-30,0.0
2010-12-31,4.1667
2011-01-03,-20.0
2011-01-04,10.0
2011-01-05,0.0
2011-01-06,-2.2727
2011-01-07,-11.6279
2011-01-10,-5.2632
2011-01-12,5.5556
2011-01-13,-2.6316
2011-01-14,-2.7027
2011-01-18,5.5556
2011-01-19,-10.526299999999999
2011-01-20,0.0
2011-01-21,-5.8824
2011-01-24,43.75
2011-01-26,-17.3913
2011-01-27,-10.526299999999999
2011-01-28,5.8824
2011-02-01,-11.1111
2011-02-02,12.5
2011-02-03,-13.8889
2011-02-04,6.4516
2011-02-07,0.0
2011-02-08,0.0
2011-02-10,0.0
2011-02-11,7.2727
2011-02-14,10.7345
2011-02-15,-10.7143
2011-02-16,-19.9286
2011-02-17,28.4567
2011-02-18,5.5556
2011-02-22,-15.7895
2011-02-23,-6.25
2011-02-24,0.6667
2011-02-28,22.5166
2011-03-03,-13.5135
2011-03-04,12.5
2011-03-07,-11.1111
2011-03-10,-6.25
2011-03-11,-16.6667
2011-03-14,1.6
2011-03-15,2.3622
2011-03-16,-3.8462
2011-03-17,-4.0
2011-03-18,5.0
2011-03-21,30.9524
2011-03-22,27.2727
2011-03-23,0.0
2011-03-24,-21.4286
2011-03-25,9.0909
2011-03-28,13.8889
2011-03-29,-2.439
2011-03-30,-25.0
2011-03-31,6.6667
2011-04-01,0.0
2011-04-04,12.4219
2011-04-05,-2.7102
2011-04-06,-0.0714
2011-04-08,0.0715
2011-04-11,-20.0
2011-04-12,14.1964
2011-04-13,6.3331
2011-04-14,-11.7647
2011-04-15,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,-3.3333
2011-04-25,3.4483
2011-04-27,13.3333
2011-04-28,-17.647100000000002
2011-04-29,21.4286
2011-05-02,8.8235
2011-05-03,0.0
2011-05-04,-3.2432
2011-05-05,-10.6145
2011-05-06,11.5625
2011-05-09,0.8403
2011-05-10,-30.5556
2011-05-13,20.0
2011-05-20,0.0
2011-05-24,-13.3333
2011-05-26,-3.8462
2011-05-27,12.0
2011-05-31,14.2857
2011-06-07,-6.875
2011-06-09,0.0
2011-06-14,-2.6846
2011-06-15,1.7241
2011-06-17,1.6949
2011-06-22,0.0
2011-06-23,6.6667
2011-06-24,-15.625
2011-06-27,-11.1111
2011-06-28,0.0
2011-06-30,16.6667
2011-07-01,7.1429
2011-07-05,20.0
2011-07-06,16.6667
2011-07-07,9.0476
2011-07-08,0.4367
2011-07-11,-13.0435
2011-07-12,-15.0
2011-07-13,17.647100000000002
2011-07-14,-5.0
2011-07-18,5.2632
2011-07-19,0.0
2011-07-21,0.0
2011-07-22,-0.5
2011-07-25,-14.5729
2011-07-27,0.0
2011-07-29,-5.8824
2011-08-05,3.125
2011-08-08,0.0
2011-08-09,-3.0303
2011-08-10,0.0
2011-08-12,0.0
2011-08-19,3.125
2011-08-22,0.0
2011-08-24,3.0303
2011-08-25,0.0
2011-08-26,17.647100000000002
2011-08-29,0.0
2011-08-30,0.0
2011-09-02,-12.5
2011-09-07,13.7143
2011-09-08,-7.0352
2011-09-09,5.4054
2011-09-12,-2.5641
2011-09-13,5.2632
2011-09-14,20.0
2011-09-15,-12.5
2011-09-16,-4.7619
2011-09-19,-5.0
2011-09-20,5.2632
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,-5.0
