ticker,RPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-16,2.3633
2015-09-17,-3.8161
2015-09-18,1.6068
2015-09-21,-10.9723
2015-09-22,0.0
2015-09-23,5.2632
2015-09-24,-4.1667
2015-09-25,-13.0
2015-09-28,0.025
2015-09-29,0.05
2015-10-01,16.4544
2015-10-02,9.777
2015-10-05,12.5
2015-10-06,0.0
2015-10-07,8.3333
2015-10-08,-10.2564
2015-10-09,5.7143
2015-10-13,2.7027
2015-10-14,-2.6316
2015-10-16,-5.4054
2015-10-19,8.5714
2015-10-21,-7.8947
2015-10-22,0.0
2015-10-23,17.1429
2015-10-26,-2.3628
2015-10-27,-0.0781
2015-10-28,0.0
2015-11-02,-2.5
2015-11-03,-1.2821
2015-11-04,-6.461
2015-11-05,-5.5883
2015-11-06,0.0
2015-11-09,2.9412000000000003
2015-11-10,-11.4286
2015-11-11,-3.2258
2015-11-12,0.0625
2015-11-13,9.9729
2015-11-16,-0.0379
2015-11-17,-2.9167
2015-11-18,7.5497
2015-11-19,0.127
2015-11-20,-1.4493
2015-11-23,0.1287
2015-11-24,-3.9471
2015-11-25,2.4465
2015-11-27,5.7463
2015-11-30,-15.2788
2015-12-01,-3.3736
2015-12-03,0.0
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,-6.8966
2015-12-09,-11.1111
2015-12-10,-2.0833
2015-12-11,-14.8936
2015-12-14,3.75
2015-12-15,-8.4337
2015-12-16,-2.6316
2015-12-17,-10.8108
2015-12-18,12.1212
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,1.9595
2015-12-24,0.1988
2015-12-28,0.5291
2015-12-29,10.526299999999999
2015-12-30,-14.2857
2015-12-31,0.0
2016-01-04,11.1111
2016-01-05,2.5
2016-01-06,-7.3171
2016-01-07,-10.526299999999999
2016-01-08,-5.8088
2016-01-11,0.3123
2016-01-12,7.2763
2016-01-13,0.0
2016-01-14,-0.6529
2016-01-20,2.1541
2016-01-21,0.0715
2016-01-22,-2.8929
2016-01-25,5.9213000000000005
2016-01-26,-5.5556
2016-01-27,8.8235
2016-01-28,-2.7027
2016-01-29,0.0
2016-02-01,5.5556
2016-02-02,4.0461
2016-02-03,2.1814999999999998
2016-02-04,8.0136
2016-02-08,-6.0441
2016-02-09,-0.9756
2016-02-10,-1.4778
2016-02-11,-17.0
2016-02-12,0.0
2016-02-16,2.4096
2016-02-17,-5.8824
2016-02-18,-2.5
2016-02-22,14.1026
2016-02-23,-14.6067
2016-02-25,31.5789
2016-02-26,-7.5
2016-02-29,-13.5135
2016-03-01,6.25
2016-03-02,-5.8824
2016-03-03,18.75
2016-03-04,-15.2632
2016-03-07,11.8012
2016-03-08,11.1111
2016-03-09,-0.5
2016-03-10,-19.598
2016-03-11,-2.5
2016-03-14,12.1795
2016-03-15,-0.5714
2016-03-16,-20.1149
2016-03-17,17.9856
2016-03-18,-14.7104
2016-03-21,7.1492
2016-03-22,-13.9283
2016-03-23,8.5271
2016-03-24,3.5714
2016-03-28,-10.3448
2016-03-29,-10.8654
2016-03-30,-22.3301
2016-03-31,22.2222
2016-04-01,9.0909
2016-04-04,-33.3333
2016-04-05,25.0
2016-04-07,0.0
2016-04-11,-19.875
2016-04-12,6.0842
2016-04-13,5.8824
2016-04-14,-10.9722
2016-04-15,-0.156
2016-04-18,37.5
2016-04-19,-9.0909
2016-04-20,-14.8125
2016-04-21,29.1269
2016-04-22,-4.375
2016-04-25,14.082
2016-04-26,-12.3958
2016-04-27,-14.3876
2016-04-28,2.2222
2016-04-29,-2.1739
2016-05-03,11.1111
2016-05-04,-0.125
2016-05-05,-9.8874
2016-05-06,5.5556
2016-05-09,4.7368
2016-05-10,-17.0854
2016-05-11,21.2121
2016-05-12,-29.5
2016-05-13,6.383
2016-05-16,6.6667
2016-05-17,-12.3437
2016-05-18,6.9519
2016-05-19,6.6667
2016-05-24,5.8594
2016-05-25,0.369
2016-05-27,-27.8676
2016-05-31,136.4934
2016-06-01,-17.2414
2016-06-02,-8.3333
2016-06-06,9.0909
2016-06-07,16.6667
2016-06-08,14.2857
2016-06-09,9.375
2016-06-10,-0.8571
2016-06-13,15.2738
2016-06-14,-10.0
2016-06-15,11.1111
2016-06-17,-10.0
2016-06-21,-27.7778
2016-06-22,38.4615
2016-06-23,-22.2222
2016-06-24,13.5714
2016-06-27,-11.2421
2016-06-28,-7.1745
2016-06-29,0.7634
2016-06-30,-7.5758
2016-07-01,31.1475
2016-07-05,-12.5
2016-07-06,7.1429
2016-07-07,0.0
2016-07-08,-6.6667
2016-07-11,3.5714
2016-07-12,-13.7931
2016-07-13,12.4
2016-07-14,6.7616
2016-07-15,0.0
2016-07-18,-11.9167
2016-07-19,-1.6082999999999998
2016-07-21,3.8462
2016-07-22,-6.6667
2016-07-25,-12.7976
2016-07-26,-4.4369
2016-07-27,-4.7619
2016-07-28,21.0
2016-07-29,15.7025
2016-08-03,6.4286
2016-08-05,-12.7517
2016-08-08,-2.3077
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,-5.5118
2016-08-12,8.3333
2016-08-15,0.0
2016-08-17,-3.8462
2016-08-18,0.0
2016-08-19,-4.0
2016-08-22,8.3333
2016-08-23,0.0
2016-08-24,38.4615
2016-08-25,-4.4444
2016-08-26,16.2791
2016-08-29,55.0
2016-08-30,-6.4516
2016-08-31,0.0
2016-09-01,-10.3448
2016-09-02,7.3077
2016-09-06,7.5269
2016-09-07,5.0
2016-09-08,7.9365
2016-09-09,17.647100000000002
2016-09-12,6.25
2016-09-13,8.2353
2016-09-14,-4.3478
2016-09-15,-2.2727
2016-09-16,-6.9767
2016-09-19,12.5
2016-09-20,0.0
2016-09-21,-8.6667
2016-09-22,-5.1095
2016-09-23,-0.7051
2016-09-26,-3.6798
2016-09-27,-3.4853
2016-09-28,0.2778
2016-09-29,9.3837
2016-09-30,1.2979
2016-10-03,-6.25
2016-10-04,6.6667
2016-10-05,-2.5
2016-10-06,0.0
2016-10-07,7.6923
2016-10-10,-4.7619
2016-10-11,5.0
2016-10-12,-14.2857
2016-10-13,-2.7778
2016-10-17,8.5714
2016-10-19,-15.7895
2016-10-20,3.125
2016-10-25,-9.0909
2016-10-26,10.0
2016-10-27,-6.0606
2016-10-28,0.0
2016-10-31,-16.129
2016-11-02,0.0
2016-11-03,53.8462
2016-11-04,0.0
2016-11-07,-17.5
2016-11-08,6.0606
2016-11-09,-8.5714
2016-11-10,9.375
2016-11-11,8.5714
2016-11-14,5.2632
2016-11-15,-5.0
2016-11-16,2.6316
2016-11-17,0.0
2016-11-18,-1.2821
2016-11-21,1.2987
2016-11-22,2.5641
2016-11-23,-0.0313
2016-11-25,0.0313
2016-11-28,0.0
2016-11-29,5.0
2016-11-30,0.0
2016-12-01,-18.8095
2016-12-02,8.5044
2016-12-05,28.1081
2016-12-06,-20.6355
2016-12-07,18.0263
2016-12-08,-9.9099
2016-12-09,-7.5
2016-12-12,8.1081
2016-12-13,0.0
2016-12-14,2.5
2016-12-15,-2.439
2016-12-16,-8.75
2016-12-19,-28.7671
2016-12-20,26.9231
2016-12-21,-3.0303
2016-12-22,-12.5
2016-12-23,39.2857
2016-12-27,2.3077
2016-12-28,-19.689799999999998
2016-12-29,-1.6968999999999999
2016-12-30,1.5873
2017-01-03,-1.5625
2017-01-04,-4.7619
2017-01-05,3.3333
2017-01-06,6.4516
2017-01-10,0.0
2017-01-11,18.1818
2017-01-12,-2.8205
2017-01-13,0.2639
2017-01-17,-2.8947000000000003
2017-01-18,-5.4201
2017-01-19,-8.3095
2017-01-20,3.125
2017-01-23,-9.0909
2017-01-24,3.3333
2017-01-25,3.004
2017-01-26,9.6105
2017-01-27,-8.607099999999999
2017-01-30,-0.0782
2017-01-31,-6.14
2017-02-01,0.0
2017-02-02,-3.3333
2017-02-03,3.4483
2017-02-06,0.0
2017-02-07,6.0
2017-02-08,0.6289
2017-02-09,-1.5625
2017-02-10,-10.7937
2017-02-13,-0.2447
2017-02-14,10.5909
2017-02-15,-11.25
2017-02-16,12.2672
2017-02-17,0.0
2017-02-21,-2.8733
2017-02-22,-6.6667
2017-02-23,7.1429
2017-02-24,-5.0
2017-02-27,1.7544
2017-02-28,3.4483
2017-03-01,-4.7292
2017-03-02,-2.0337
2017-03-03,1.7410999999999999
2017-03-06,-8.4906
2017-03-07,-0.2158
2017-03-08,7.6406
2017-03-09,7.1429
2017-03-10,6.5625
2017-03-13,-2.9912
2017-03-14,-0.4232
2017-03-15,0.3845
2017-03-16,9.6774
2017-03-17,17.647100000000002
2017-03-21,-27.5
2017-03-22,3.4483
2017-03-23,0.0
2017-03-24,14.0417
2017-03-27,-12.3128
2017-03-28,10.0
2017-03-29,3.0303
2017-03-30,-11.8199
2017-03-31,16.4061
2017-04-03,-2.5788
2017-04-04,-14.7059
2017-04-05,-10.3017
2017-04-06,26.8621
2017-04-07,-5.4545
2017-04-10,28.2051
2017-04-11,-12.75
2017-04-12,-14.0401
2017-04-13,6.625
2017-04-17,0.0
2017-04-18,-11.8406
2017-04-19,20.5674
2017-04-20,-11.1765
2017-04-21,-13.9073
2017-04-24,7.6923
2017-04-25,-3.5714
2017-04-26,-5.5093
2017-04-27,5.8305
2017-04-28,-14.7685
2017-05-01,12.9006
2017-05-02,-9.5502
2017-05-03,-2.1277
2017-05-04,21.6848
2017-05-08,-7.146
2017-05-09,0.0481
2017-05-10,-4.0865
2017-05-11,0.2506
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,3.95
2017-05-17,-19.1919
2017-05-18,33.3333
2017-05-19,0.0
2017-05-23,-3.5714
2017-05-24,3.6574
