ticker,CESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-29,25.0
2016-12-01,-39.75
2016-12-02,54.9101
2016-12-05,0.0
2016-12-09,-10.7143
2016-12-13,-20.0
2016-12-14,-30.0
2016-12-16,40.0
2016-12-27,0.0
2016-12-28,-12.2449
2016-12-29,4.6512
2016-12-30,0.0
2017-01-04,0.0
2017-01-05,-44.1667
2017-01-06,55.2239
2017-01-09,2.5641
2017-01-10,0.0
2017-01-11,-39.6875
2017-01-13,65.8031
2017-01-17,-37.5
2017-01-18,0.75
2017-01-20,-0.7444
2017-01-24,-8.0
2017-01-25,0.0
2017-01-27,0.0
2017-02-01,0.0
2017-02-02,-8.1522
2017-02-03,46.1538
2017-02-07,-2.834
2017-02-09,-21.6667
2017-02-13,-10.6383
2017-02-17,42.8571
2017-02-21,-14.1667
2017-02-23,-13.1068
2017-03-07,-0.2793
2017-03-10,0.0
2017-03-14,-23.8095
2017-03-15,0.7353
2017-03-16,54.7445
2017-03-17,-0.4717
2017-03-20,-35.0711
2017-03-23,10.9489
2017-03-24,-21.0526
2017-03-29,6.6667
2017-03-30,-6.25
2017-03-31,0.0
2017-04-03,-6.6667
2017-04-04,-14.2857
2017-04-05,0.0
2017-04-07,45.8333
2017-04-10,-40.0
2017-04-12,4.7619
2017-04-13,59.0909
2017-04-17,-40.0
2017-05-01,0.0
2017-05-02,-25.5952
2017-05-09,122.4
2017-05-10,104.3165
2017-05-11,-33.0986
2017-05-12,-13.6842
2017-05-23,-48.1707
2017-05-26,41.1765
2017-06-01,-29.1667
2017-06-09,77.8824
2017-06-12,-15.6085
2017-06-13,-18.4953
2017-06-15,10.4385
2017-06-16,31.6431
2017-06-22,0.0
2017-06-23,-31.2169
2017-06-28,-15.3846
2017-07-10,0.0
2017-07-17,109.0909
2017-07-18,-47.1696
2017-07-19,-17.7022
2017-07-25,-20.0
2017-07-26,-12.5
2017-08-01,2.7143
2017-08-04,-2.6426
2017-08-08,-25.7143
2017-08-18,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-25,21.9231
2017-08-28,-17.9811
2017-09-15,44.2308
2017-09-21,-30.6667
2017-09-25,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,21.9231
2017-10-11,-17.9811
2017-10-27,0.0
2017-11-01,0.0
2017-11-03,-23.0769
2017-11-06,0.0
2017-11-13,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-21,0.0
2017-11-22,-22.5
2017-11-27,20.3226
2017-11-29,-16.8901
2017-12-04,-19.3548
2017-12-08,-16.0
2017-12-11,0.0
2017-12-13,78.0952
2017-12-14,-6.4171
2017-12-18,-40.0
2017-12-19,19.0476
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,0.0
2018-01-04,-16.0
2018-01-05,0.0
2018-01-11,0.0
2018-02-06,35.4286
2018-02-07,-21.9409
2018-02-14,12.6126
2018-02-23,26.08
2018-02-28,-17.5127
2018-03-07,3.8462
2018-03-08,0.0
2018-03-12,0.0
2018-03-14,0.0
2018-03-29,0.0
2018-04-05,-3.7037
2018-04-11,0.0
2018-05-04,0.0
