ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-26,5.6704
2018-12-27,0.708
2018-12-28,2.8491999999999997
2018-12-31,-0.5756
2019-01-02,0.2714
2019-01-03,-5.5395
2019-01-04,4.0497
2019-01-07,2.662
2019-01-08,-0.2504
2019-01-09,5.6293
2019-01-10,0.3225
2019-01-11,-1.0827
2019-01-14,-2.155
2019-01-15,-7.2715
2019-01-16,0.4901
2019-01-17,2.7387
2019-01-18,4.0898
2019-01-22,-3.245
2019-01-23,0.3263
2019-01-24,-0.1084
2019-01-25,1.2301
2019-01-28,1.4832
2019-01-29,2.1835
2019-01-30,-7.0136
2019-01-31,-1.2231
2019-02-01,-10.8255
2019-02-04,8.3316
2019-02-05,1.8062
2019-02-06,-1.5834000000000001
2019-02-07,0.504
2019-02-08,-1.6393
2019-02-11,2.9608
2019-02-12,3.6184
2019-02-13,0.7903
2019-02-14,-1.6594
2019-02-15,2.1139
2019-02-19,-0.0182
2019-02-20,-1.4711
2019-02-21,3.1705
2019-02-22,-1.2685
2019-02-25,0.8143
2019-02-26,-0.4667
2019-02-27,-1.1362
2019-02-28,-2.0248
2019-03-01,1.6943000000000001
2019-03-04,-1.7759
2019-03-05,-1.9199000000000002
2019-03-06,-1.6534
2019-03-07,0.0386
2019-03-08,-1.6032
2019-03-11,2.5913
2019-03-12,2.8703
2019-03-13,-1.3021
2019-03-14,2.0543
2019-03-15,0.9603
2019-03-18,1.1524
2019-03-19,1.5913
2019-03-20,-1.2993999999999999
2019-03-21,2.8855
2019-03-22,-3.0675
2019-03-25,1.3562
2019-03-26,1.4451
2019-03-27,-0.51
2019-03-28,-0.7071
2019-03-29,1.7447
2019-04-01,2.6071999999999997
2019-04-02,-2.5409
2019-04-03,0.8749
2019-04-04,2.8794
2019-04-05,2.4616
2019-04-08,-1.0202
2019-04-09,-3.9234999999999998
2019-04-10,2.7859
2019-04-11,2.862
2019-04-12,1.0966
2019-04-15,1.8779
2019-04-16,-0.8104
2019-04-17,3.5084999999999997
2019-04-18,0.7894
2019-04-22,-1.8888
2019-04-23,3.7721
2019-04-24,-0.362
2019-04-25,-0.4239
2019-04-26,3.2381
2019-04-29,-0.0147
2019-04-30,-0.8837
