ticker,BBGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-08,2.0202
2016-09-09,-4.9505
2016-09-12,4.1667
2016-09-13,2.0
2016-09-14,-1.9607999999999999
2016-09-15,1.0
2016-09-19,-30.6931
2016-09-20,24.2857
2016-09-27,26.4368
2016-09-28,2.7273
2016-09-29,2.6549
2016-09-30,1.7241
2016-10-03,0.0
2016-10-04,1.6949
2016-10-05,4.1667
2016-10-06,7.2
2016-10-07,0.0
2016-10-10,2.9851
2016-10-11,0.7246
2016-10-12,2.2302
2016-10-13,4.152
2016-10-14,8.1081
2016-10-17,-4.5703
2016-10-18,4.7892
2016-10-19,0.625
2016-10-20,-1.2422
2016-10-21,3.7736
2016-10-24,1.2121
2016-10-25,1.1976
2016-10-26,6.6272
2016-10-27,3.2186
2016-10-28,3.7634
2016-10-31,1.0363
2016-11-01,1.0256
2016-11-02,0.5076
2016-11-03,2.0202
2016-11-04,3.4653
2016-11-07,2.8708
2016-11-08,0.9302
2016-11-09,5.53
2016-11-10,1.7467000000000001
2016-11-11,0.9576
2016-11-14,0.7519
2016-11-15,3.7975
2016-11-16,2.439
2016-11-17,1.5873
2016-11-18,2.3438
2016-11-21,0.8015
2016-11-22,0.7194
2016-11-23,1.1278
2016-11-25,1.8587
2016-11-28,-1.4599
2016-11-29,-61.1111
2016-11-30,-64.7619
2016-12-01,-30.0
2016-12-02,46.332
2016-12-05,-20.8443
2016-12-06,-26.6667
2016-12-07,-22.7273
2016-12-08,8.8235
2016-12-09,10.8108
2016-12-12,-7.3171
2016-12-13,-34.6711
2016-12-14,9.567
2016-12-15,-19.1176
2016-12-16,5.2273
2016-12-19,-13.6069
2016-12-20,-14.0625
2016-12-21,-1.0909
2016-12-22,30.0
2016-12-23,-13.914
2016-12-27,-7.4901
2016-12-28,-5.1136
2016-12-29,-16.1677
2016-12-30,1.4285999999999999
2017-01-03,-1.4085
2017-01-04,3.2143
2017-01-05,10.7266
2017-01-06,-12.5
2017-01-09,8.5714
2017-01-10,0.1645
2017-01-11,-1.4778
2017-01-12,20.0
2017-01-13,-16.6667
2017-01-17,-6.6667
2017-01-18,-5.0
2017-01-19,0.0
2017-01-20,0.188
2017-01-23,4.878
2017-01-25,21.4669
2017-01-26,-16.3476
2017-01-27,1.4085
2017-01-30,0.0
2017-02-01,0.0
2017-02-03,-2.1701
2017-02-07,-3.4605
2017-02-08,5.8824
2017-02-10,0.0
2017-02-13,-8.0729
2017-02-17,10.2927
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,23.2877
2017-02-24,-3.8194
2017-03-01,-13.3574
2017-03-02,0.0
2017-03-03,26.6667
2017-03-06,21.0526
2017-03-07,18.2609
2017-03-08,45.5882
2017-03-09,31.3131
2017-03-10,-3.8462
2017-03-13,-35.95
2017-03-14,6.1671
2017-03-15,-24.7059
2017-03-16,1.5625
2017-03-17,3.8462
2017-03-20,-11.1111
2017-03-21,0.0
2017-03-22,2.8646000000000003
2017-03-24,9.3671
2017-03-28,-11.1111
2017-03-29,16.6667
2017-03-30,7.1429
2017-03-31,10.7917
2017-04-03,2.2941
2017-04-04,17.647100000000002
2017-04-05,-5.0
2017-04-06,-34.7368
2017-04-07,4.8387
2017-04-11,0.7692
2017-04-12,14.5038
2017-04-20,-10.0
2017-04-24,3.7037
2017-04-25,-3.4821
2017-04-26,1.7576
2017-05-02,23.6364
2017-05-03,11.7647
2017-05-04,0.0
2017-05-05,7.6316
2017-05-08,-1.6503999999999999
2017-05-09,-1.0566
2017-05-10,0.5653
2017-05-11,4.9344
2017-05-12,4.7619
2017-05-15,-22.7273
2017-05-16,17.647100000000002
2017-05-17,5.0
2017-05-18,-18.9881
2017-05-19,-0.0735
2017-05-22,-26.9485
2017-05-23,-19.4766
2017-05-24,2.5
2017-05-30,55.6098
2017-05-31,-48.5893
2017-06-01,34.1463
2017-06-02,-3.6364
2017-06-05,-5.6604
2017-06-06,-22.0
2017-06-07,73.0769
2017-06-09,2.0
2017-06-12,0.0
2017-06-13,-41.9027
2017-06-14,43.75
2017-06-15,28.4348
2017-06-19,-0.4739
2017-06-20,-52.381
2017-06-21,111.0
2017-06-28,-32.2952
2017-06-29,8.891
2017-07-05,10.2019
2017-07-06,16.6667
2017-07-11,-48.7857
2017-07-14,78.5216
2017-07-17,-14.1406
2017-07-18,3.7307
2017-07-19,-12.2807
2017-07-25,-26.5
2017-07-26,46.9388
2017-07-31,-25.9259
2017-08-03,-12.5
2017-08-04,0.0
2017-08-07,28.5714
2017-08-09,-8.5556
2017-08-11,-13.1227
2017-08-14,-0.6993
2017-08-17,69.0141
2017-08-18,0.0
2017-08-21,-8.3333
2017-08-23,3.1809
2017-08-28,-11.8935
2017-08-30,0.0
2017-08-31,-29.0
2017-09-06,0.0
2017-09-07,69.0141
2017-09-12,-37.5
2017-09-13,60.0
2017-09-14,-37.5
2017-09-15,58.6667
2017-09-18,-36.9748
2017-09-20,33.3333
2017-09-21,-25.0
2017-09-22,33.3333
2017-09-26,-21.549
2017-09-27,40.2149
2017-09-28,-24.5
2017-09-29,28.236
2017-10-03,-6.1033
2017-10-04,6.6
2017-10-06,3.1895
2017-10-10,0.0
2017-10-11,81.8182
2017-10-12,-40.0
