ticker,BGMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-23,-3.2421
2014-05-27,3.9941
2014-05-28,8.2614
2014-05-29,3.8095
2014-05-30,-7.3394
2014-06-02,-0.9901
2014-06-03,-0.5
2014-06-04,1.5074999999999998
2014-06-05,1.9802
2014-06-06,2.9126
2014-06-09,-0.9434
2014-06-10,0.0
2014-06-11,-1.9048
2014-06-12,4.8544
2014-06-13,0.9259
2014-06-16,0.0
2014-06-17,-1.8349
2014-06-18,-0.9346
2014-06-19,3.3019
2014-06-20,2.2831
2014-06-23,2.6786
2014-06-24,0.9565
2014-06-25,-2.6701
2014-06-26,-1.3274
2014-06-27,-1.3453
2014-06-30,-4.5455
2014-07-01,4.7619
2014-07-02,-1.8182
2014-07-03,-1.8519
2014-07-07,0.0
2014-07-08,-3.7854
2014-07-09,-1.9487999999999999
2014-07-10,-2.2813
2014-07-11,-0.4157
2014-07-14,3.7893
2014-07-15,3.9604
2014-07-16,-2.8571
2014-07-17,-1.9607999999999999
2014-07-18,0.0
2014-07-21,3.0
2014-07-22,-1.9417
2014-07-23,0.0
2014-07-24,-1.9926
2014-07-25,-0.2589
2014-07-28,-0.7406
2014-07-29,0.523
2014-07-30,-0.3997
2014-07-31,-3.8283
2014-08-01,-3.5634
2014-08-04,-0.4533
2014-08-05,-0.9935
2014-08-06,0.9199
2014-08-07,-2.7759
2014-08-08,0.0
2014-08-11,4.7940000000000005
2014-08-12,2.9278
2014-08-13,-0.9679
2014-08-14,-22.3271
2014-08-15,1.4895
2014-08-18,1.2821
2014-08-19,1.2658
2014-08-20,13.0263
2014-08-21,-4.5402000000000005
2014-08-22,2.439
2014-08-25,0.0
2014-08-26,-1.2054
2014-08-27,-6.0099
2014-08-28,-2.5641
2014-08-29,2.6316
2014-09-02,2.5641
2014-09-03,-3.75
2014-09-04,0.211
2014-09-05,1.0692
2014-09-08,-4.4719
2014-09-09,-6.0403
2014-09-10,-1.3393
2014-09-11,2.8235
2014-09-12,-2.6228
2014-09-15,-3.1092
2014-09-16,-16.4646
2014-09-17,5.6281
2014-09-18,-8.299
2014-09-19,2.5594
2014-09-22,-1.0791
2014-09-23,7.25
2014-09-24,-0.7417
2014-09-25,1.0034
2014-09-26,-0.2114
2014-09-29,-4.6812000000000005
2014-09-30,-3.2556
2014-10-01,1.0681
2014-10-02,-7.125
2014-10-03,0.9421
2014-10-06,-1.3818
2014-10-07,-7.5713
2014-10-08,-12.766
2014-10-09,-9.0244
2014-10-10,1.8767
2014-10-13,-2.8618
2014-10-14,0.4064
2014-10-15,-1.3828
2014-10-16,6.7031
2014-10-17,15.3846
2014-10-20,-3.3333
2014-10-21,7.2844999999999995
2014-10-22,9.0933
2014-10-23,-0.3192
2014-10-24,-1.5516999999999999
2014-10-27,-3.9279
2014-10-28,-1.1198
2014-10-29,3.2394
2014-10-30,-8.1633
2014-10-31,-2.7083
2014-11-03,9.636
2014-11-04,-8.3333
2014-11-05,2.2727
2014-11-06,-3.9583
2014-11-07,-2.82
2014-11-10,4.7619
2014-11-11,7.1307
2014-11-12,-0.2917
2014-11-13,-4.1754999999999995
2014-11-14,-3.8163
2014-11-17,-3.0443
2014-11-18,-4.2113
2014-11-19,1.9108
2014-11-20,-0.8841
2014-11-21,0.892
2014-11-24,9.7561
2014-11-25,-4.4444
