ticker,INTEQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-29,0.8929
2018-01-02,7.3746
2018-01-03,0.5495
2018-01-04,-6.2842
2018-01-05,0.8746
2018-01-08,1.7341
2018-01-09,-5.3977
2018-01-10,-2.1021
2018-01-11,0.9202
2018-01-12,-0.304
2018-01-16,-4.2683
2018-01-17,-1.9108
2018-01-18,-1.9481000000000002
2018-01-19,0.0
2018-01-22,1.3245
2018-01-23,-1.3072
2018-01-24,-1.3245
2018-01-25,0.0
2018-01-26,0.6711
2018-01-29,-2.3333
2018-01-30,-3.413
2018-01-31,-0.7067
2018-02-01,-1.0676
2018-02-02,-2.8777
2018-02-05,-5.5556
2018-02-06,1.9607999999999999
2018-02-07,1.9231
2018-02-08,-4.9056999999999995
2018-02-09,2.3810000000000002
2018-02-12,10.0775
2018-02-13,5.2817
2018-02-14,1.3378
2018-02-15,5.9406
2018-02-16,9.0343
2018-02-20,6.5714
2018-02-21,3.7534
2018-02-22,-2.3256
2018-02-23,4.4974
2018-02-26,-11.1392
2018-02-27,28.2051
2018-02-28,7.5556
2018-03-01,-3.3058
2018-03-02,1.7094
2018-03-05,2.9412000000000003
2018-03-06,0.6122
2018-03-07,-6.6937
2018-03-08,2.1739
2018-03-09,3.4043
2018-03-12,2.4691
2018-03-13,-3.012
2018-03-14,2.0704
2018-03-15,-3.4483
2018-03-16,2.9412000000000003
2018-03-19,-1.0204
2018-03-20,-3.0928
2018-03-21,1.2766
2018-03-22,-3.3613
2018-03-23,-3.6957
2018-03-26,-5.4176
2018-03-27,-5.7279
2018-03-28,-5.0633
2018-03-29,0.2667
2018-04-02,-3.9894
2018-04-03,1.9391
2018-04-04,9.5109
2018-04-05,20.8437
2018-04-06,5.3388
2018-04-09,12.4756
2018-04-10,11.0919
2018-04-11,0.0
2018-04-12,8.2683
2018-04-13,2.0173
2018-04-16,18.7853
2018-04-17,8.3234
2018-04-18,-0.4391
2018-04-19,1.323
2018-04-20,1.3058
2018-04-23,-0.1074
2018-04-24,7.7419
2018-04-25,2.0958
2018-04-26,-2.346
2018-04-27,3.5035
2018-04-30,-5.5126
2018-05-01,33.3675
2018-05-02,-5.5257
2018-05-03,-5.6052
2018-05-04,3.2702
2018-05-07,4.75
2018-05-08,-1.5114999999999998
2018-05-09,5.9774
2018-05-10,-1.4482
2018-05-11,8.7394
2018-05-14,-2.7738
2018-05-15,0.0
2018-05-16,0.1463
2018-05-17,4.8941
2018-05-18,-1.6713
2018-05-21,4.3201
2018-05-22,-1.2899
2018-05-23,12.1045
2018-05-24,2.3313
2018-05-25,-8.3333
2018-05-29,2.8777
2018-05-30,2.1615
2018-05-31,11.0765
2018-06-01,-4.8179
2018-06-04,0.7652
2018-06-05,3.7382999999999997
2018-06-06,3.4347
2018-06-07,-9.0909
2018-06-08,-1.018
2018-06-11,-10.2238
2018-06-12,7.6146
2018-06-13,-1.0019
2018-06-14,6.4516
2018-06-15,4.5157
2018-06-18,-6.083
2018-06-19,-2.7845
2018-06-20,20.2989
2018-06-21,1.2422
2018-06-22,-9.8671
2018-06-25,-3.5735
2018-06-26,2.1176
2018-06-27,-0.9217
2018-06-28,-3.8372
2018-06-29,0.7255
2018-07-02,1.2005
2018-07-03,-0.1186
2018-07-05,2.1971
2018-07-06,3.8931
2018-07-09,1.6219000000000001
2018-07-10,0.6054
