ticker,JNCE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-02,1.2719
2018-10-03,5.3375
2018-10-04,-1.3413
2018-10-05,-1.8127
2018-10-08,-1.3846
2018-10-09,3.9002
2018-10-10,-3.3033
2018-10-11,-7.4534
2018-10-12,-1.1745
2018-10-15,-3.3956
2018-10-16,7.0299
2018-10-17,0.6568
2018-10-18,-4.894
2018-10-19,-4.2882
2018-10-22,-3.9427
2018-10-23,-6.3433
2018-10-24,-4.1833
2018-10-25,0.8316
2018-10-26,-6.5979
2018-10-29,-3.7528
2018-10-30,-3.211
2018-10-31,-4.2654
2018-11-01,20.7921
2018-11-02,2.2541
2018-11-05,3.2064
2018-11-06,3.6893000000000002
2018-11-07,2.4345
2018-11-08,-10.0548
2018-11-09,-2.2358000000000002
2018-11-12,-7.2765
2018-11-13,-1.3453
2018-11-14,-6.8182
2018-11-15,10.9756
2018-11-16,-3.2967
2018-11-19,4.3182
2018-11-20,-4.1394
2018-11-21,8.1818
2018-11-23,-3.3613
2018-11-26,-5.4348
2018-11-27,-3.6782
2018-11-28,6.6826
2018-11-29,-6.7114
2018-11-30,3.5971
2018-12-03,6.25
2018-12-04,-5.6645
2018-12-06,-3.2333
2018-12-07,-5.7279
2018-12-10,-1.7722
2018-12-11,-4.8969000000000005
2018-12-12,1.355
2018-12-13,-1.3369
2018-12-14,-4.336
2018-12-17,-2.8329
2018-12-18,-3.207
2018-12-19,-4.2169
2018-12-20,-11.0063
2018-12-21,1.4134
2018-12-24,-6.2718
2018-12-26,5.5762
2018-12-27,10.5634
2018-12-28,7.3248
2018-12-31,0.0
2019-01-02,14.8368
2019-01-03,-0.5168
2019-01-04,14.026
2019-01-07,1.5945
2019-01-08,0.6726
2019-01-09,1.1136
2019-01-10,2.8634
2019-01-11,3.212
2019-01-14,-3.3195
2019-01-15,5.3648
2019-01-16,-0.4073
2019-01-17,-2.863
2019-01-18,-20.0
2019-01-22,-4.2105
2019-01-23,3.022
2019-01-24,4.0
2019-01-25,-7.1795
2019-01-28,-5.2486
2019-01-29,9.9125
2019-01-30,5.305
2019-01-31,5.5416
2019-02-01,5.0119
2019-02-04,6.8182
2019-02-05,-7.8723
2019-02-06,0.4619
2019-02-07,-2.9885
2019-02-08,0.0
2019-02-11,0.7109
2019-02-12,-1.4118
2019-02-13,2.3866
2019-02-14,0.2331
2019-02-15,-2.093
2019-02-19,-0.2375
2019-02-20,-2.8571
2019-02-21,5.1471
2019-02-22,1.1655
2019-02-25,1.1521
2019-02-26,-1.139
2019-02-27,1.6129
2019-02-28,0.907
2019-03-01,4.4944
2019-03-04,-0.6452
