ticker,CAFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-18,0.8621
2018-04-20,0.0
2018-05-17,-72.6496
2018-05-23,212.5
2018-06-19,50.0
2018-07-03,13.3333
2018-07-05,0.0
2018-07-17,0.0
2018-07-18,0.0
2018-09-19,5.8824
2018-09-25,0.0
2018-10-11,35.0
2018-10-15,2.8807
2018-10-23,-28.0
2018-10-30,0.0
2018-12-26,0.0
2018-12-28,0.0
2019-05-14,0.5556
2019-08-06,-0.5525
2019-08-08,872.2222
2019-08-09,-31.4286
2019-08-12,-29.1667
2019-08-13,-5.2941
2019-08-14,-22.9814
2019-08-15,45.0
2019-08-19,-33.7041
2019-08-21,24.6644
2019-08-22,-19.7847
2019-08-23,0.0
2019-08-26,0.0
2019-08-27,14.7987
2019-08-28,-12.891
2019-08-29,34.2282
2019-08-30,-37.5
2019-09-04,60.0
2019-09-10,-42.5
2019-09-16,-6.087
2019-09-23,1.8519
2019-09-27,-1.8182
2019-09-30,108.3333
2019-10-01,-33.3333
2019-10-02,10.1667
2019-10-04,-3.7821
2019-10-08,10.0629
2019-10-09,0.0
2019-10-11,0.0
2019-10-14,14.2857
2019-10-21,-18.75
2019-10-25,-32.0
2019-11-01,50.6787
2019-11-05,-35.1351
2019-11-06,-29.8611
2019-11-08,180.5281
2019-11-11,-32.1765
2019-11-14,38.7684
2019-11-18,6.25
2019-11-20,-51.5294
2019-11-21,78.6408
2019-11-22,8.6957
2019-11-29,-48.5
2019-12-02,0.0
2019-12-04,55.7039
2019-12-05,24.7077
2019-12-18,-25.0
2019-12-23,-32.8333
2019-12-24,-13.1514
2019-12-26,17.1429
2019-12-27,-14.6341
2019-12-31,-11.4286
2020-01-06,-2.2580999999999998
2020-01-10,0.0
2020-01-13,0.0
2020-01-16,61.7162
2020-01-24,-7.6327
2020-01-29,-33.0535
2020-01-31,-0.495
2020-02-12,-32.67
2020-02-19,97.0443
2020-02-20,-25.0
2020-02-25,-3.3333
2020-03-06,-31.0345
2020-03-10,50.0
2020-03-13,-33.3333
2020-03-17,-10.0
2020-03-18,5.5556
2020-03-20,5.2632
2020-05-05,-1.25
2020-05-07,26.5823
2020-05-12,-5.6
2020-05-13,217.7966
2020-05-14,-53.3333
2020-05-15,55.0
2020-05-18,16.129
2020-05-19,-0.1587
2020-05-20,-4.6105
2020-05-21,49.8333
2020-05-22,-33.2592
