ticker,NTUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-24,-1.8199999999999998
2006-04-25,-0.6179
2006-04-26,-1.2953000000000001
2006-04-27,1.1549
2006-04-28,3.7883
2006-05-01,2.5
2006-05-02,-18.2927
2006-05-03,1.4328
2006-05-04,0.2943
2006-05-05,4.1667
2006-05-08,-3.2676
2006-05-09,-4.0186
2006-05-10,3.3374
2006-05-11,-4.2278
2006-05-12,-3.9853
2006-05-15,-7.4713
2006-05-16,1.5183
2006-05-17,-5.1666
2006-05-18,2.2222
2006-05-19,2.5947
2006-05-22,-5.5366
2006-05-23,-3.2561999999999998
2006-05-24,-3.6649000000000003
2006-05-25,0.6211
2006-05-26,-1.466
2006-05-30,-1.018
2006-05-31,-1.3449
2006-06-01,-2.2454
2006-06-02,5.2501999999999995
2006-06-05,-6.0016
2006-06-06,-0.4975
2006-06-07,-2.5
2006-06-08,2.4786
2006-06-09,-1.6681
2006-06-12,-3.5623
2006-06-13,-0.4398
2006-06-14,0.0
2006-06-15,4.2403
2006-06-16,-0.0847
2006-06-19,-3.1383
2006-06-20,-3.2399
2006-06-21,2.9864
2006-06-22,-2.4605
2006-06-23,7.2072
2006-06-26,-4.6218
2006-06-27,-6.3436
2006-06-28,-4.1392
2006-06-29,-0.3925
2006-06-30,-2.5616
2006-07-03,11.0212
2006-07-05,-2.3679
2006-07-06,1.2127
2006-07-07,-2.5806
2006-07-10,1.7029
2006-07-11,2.8837
2006-07-12,-2.3508
2006-07-13,2.7778
2006-07-14,1.8919000000000001
2006-07-17,0.8842
2006-07-18,1.7528000000000001
2006-07-19,4.2205
2006-07-20,-3.2231
2006-07-21,-1.1102
2006-07-24,0.1727
2006-07-25,-0.6034
2006-07-26,0.3469
2006-07-27,-3.4572
2006-07-28,3.8496
2006-07-31,5.6034
2006-08-01,4.3265
2006-08-02,0.0
2006-08-03,-5.2426
2006-08-04,0.4955
2006-08-07,-2.5472
2006-08-08,-5.3963
2006-08-09,1.426
2006-08-10,-1.5817
2006-08-11,-1.1607
2006-08-14,4.2457
2006-08-15,1.7330999999999999
2006-08-16,0.8518
2006-08-17,-1.7736
2006-08-18,5.589
2006-08-21,1.873
2006-08-22,2.9576000000000002
2006-08-23,4.0373
2006-08-24,-1.4925
2006-08-25,-0.7576
2006-08-28,3.3588
2006-08-29,1.4771
2006-08-30,-0.2183
2006-08-31,-4.5952
2006-09-01,-1.9878
2006-09-05,0.546
2006-09-06,-1.474
2006-09-07,-0.315
2006-09-08,0.237
2006-09-11,0.0788
2006-09-12,0.7874
2006-09-13,2.2656
2006-09-14,0.7639
2006-09-15,1.213
2006-09-18,0.5993
2006-09-19,1.787
2006-09-20,1.7557
2006-09-21,-2.2286
2006-09-22,-1.0294
2006-09-25,1.5602
2006-09-26,-1.4631
2006-09-27,0.4454
2006-09-28,2.2912
2006-09-29,-1.3728
2006-10-02,-2.2711
2006-10-03,0.075
2006-10-04,4.1199
2006-10-05,1.8705
2006-10-06,0.9887
2006-10-09,-1.2587
2006-10-10,-0.3541
2006-10-11,-1.2082
2006-10-12,2.446
2006-10-13,-1.4747
2006-10-16,6.4148
2006-10-17,2.2103
2006-10-18,7.2739
2006-10-19,-1.0996
2006-10-20,-2.5324
2006-10-23,1.6477
2006-10-24,-0.3117
2006-10-25,2.3765
2006-10-26,0.0611
2006-10-27,-0.9768
2006-10-30,0.6782
2006-10-31,1.7146
2006-11-01,-6.9235
2006-11-02,5.2393
2006-11-03,0.6146
2006-11-06,0.1222
2006-11-07,0.4881
2006-11-08,0.425
2006-11-09,-0.1209
2006-11-10,-0.3632
2006-11-13,1.2151
2006-11-14,2.9412000000000003
2006-11-15,0.6997
2006-11-16,-0.2316
2006-11-17,-3.1341
2006-11-20,1.3780999999999999
2006-11-21,-0.6501
2006-11-22,-1.7847
2006-11-24,-0.424
2006-11-27,-2.9196999999999997
2006-11-28,-1.9424000000000001
2006-11-29,2.2364
2006-11-30,1.625
2006-12-01,-1.6604999999999999
2006-12-04,1.8136
2006-12-05,-0.1843
2006-12-06,-0.5538
2006-12-07,0.0
2006-12-08,-0.1856
2006-12-11,2.0459
2006-12-12,-1.0936
2006-12-13,-0.7985
2006-12-14,-0.0619
2006-12-15,0.6815
2006-12-18,-1.8462
2006-12-19,-2.2571
2006-12-20,2.1167
2006-12-21,2.4497
2006-12-22,-0.6744
2006-12-26,2.1605
2006-12-27,0.3021
2006-12-28,0.0
2006-12-29,0.0602
2007-01-03,0.0602
2007-01-04,-0.6619
2007-01-05,-1.2114
2007-01-08,-0.7971
2007-01-09,-3.0284
2007-01-10,-3.0593
2007-01-11,-0.1315
2007-01-12,-0.1317
2007-01-16,-1.7798
2007-01-17,2.1477
2007-01-18,-0.7884
2007-01-19,-0.5298
2007-01-22,0.6658
2007-01-23,-0.2646
2007-01-24,0.1326
2007-01-25,-3.6424
2007-01-26,1.2371
2007-01-29,1.1541
2007-01-30,-0.2685
2007-01-31,2.288
2007-02-01,0.5263
2007-02-02,-0.6545
2007-02-05,-0.7246
2007-02-06,-0.4645
2007-02-07,-0.4667
2007-02-08,1.7415
2007-02-09,-1.7774999999999999
2007-02-12,-0.3351
2007-02-13,1.4795
2007-02-14,-2.3194
2007-02-15,-0.9498
2007-02-16,0.0685
2007-02-20,13.963
2007-02-21,-0.1802
2007-02-22,1.0229
2007-02-23,-0.6552
2007-02-26,-2.9375999999999998
2007-02-27,-5.7443
2007-02-28,5.5701
2007-03-01,-2.4209
2007-03-02,-1.4631
2007-03-05,0.3873
2007-03-06,2.2508
2007-03-07,2.1384
