ticker,PTBTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-04,0.0
2009-06-05,0.0
2009-06-08,10.526299999999999
2009-06-10,4.7619
2009-06-11,9.0909
2009-06-12,0.0
2009-06-15,133.3333
2009-06-16,0.0
2009-06-17,-57.1429
2009-06-18,0.0
2009-06-23,0.0
2009-06-26,0.0
2009-07-01,0.0
2009-07-06,0.0
2009-07-09,0.0
2009-07-10,125.0
2009-07-13,-55.5556
2009-07-14,0.0
2009-07-15,0.0
2009-07-16,0.0
2009-07-17,0.0
2009-07-20,12.5
2009-07-21,107.4074
2009-07-22,-8.9286
2009-07-23,-49.0196
2009-07-24,0.0
2009-07-31,0.0
2009-08-03,0.0
2009-08-04,53.8462
2009-08-05,27.5
2009-08-06,0.0
2009-08-07,-49.0196
2009-08-10,0.0
2009-08-11,3.8462
2009-08-13,18.5185
2009-08-14,0.0
2009-08-17,50.0
2009-08-18,4.1667
2009-08-19,60.0
2009-08-20,0.0
2009-08-21,0.0
2009-08-26,-33.75
2009-08-27,126.4151
2009-08-28,0.0
2009-08-31,-1.6667
2009-09-02,-27.1186
2009-09-03,39.5349
2009-09-04,-20.0
2009-09-08,0.0
2009-09-09,0.0
2009-09-10,-16.6667
2009-09-14,6.25
2009-09-15,-15.2941
2009-09-16,0.0
2009-09-17,11.1111
2009-09-18,-10.0
2009-09-21,0.0
2009-09-22,11.1111
2009-09-25,-20.0
2009-09-29,21.875
2009-09-30,2.5641
2009-10-02,0.0
2009-10-07,0.0
2009-10-08,0.0
2009-10-09,0.0
2009-10-12,0.0
2009-10-13,0.0
2009-10-14,-2.5
2009-10-15,0.0
2009-10-16,0.0
2009-10-19,0.0
2009-10-20,0.0
2009-10-22,0.0
2009-10-26,-17.9487
2009-10-29,17.1875
2009-10-30,-14.6667
2009-11-02,0.0
2009-11-04,0.0
2009-11-05,0.0
2009-11-09,0.0
2009-11-10,-12.5
2009-11-12,0.0
2009-11-13,-3.5714
2009-11-16,-40.7407
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,0.0
2009-11-24,0.0
2009-11-25,0.0
2009-11-27,0.0
2009-12-01,0.0
2009-12-02,0.0
2009-12-03,0.0
2009-12-04,0.0
2009-12-07,0.0
2009-12-08,0.0
2009-12-09,0.0
2009-12-10,0.0
2009-12-11,-50.0
2009-12-14,0.0
2009-12-15,50.0
2009-12-16,-54.1667
2009-12-17,18.1818
2009-12-18,0.0
2009-12-21,0.0
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,23.0769
2009-12-28,0.0
2009-12-29,-31.25
2009-12-30,0.0
2009-12-31,0.0
2010-01-04,45.4545
2010-01-05,-31.25
2010-01-06,0.0
2010-01-08,0.0
2010-01-11,0.0
2010-01-25,481.8182
2010-01-26,-25.0
2010-01-27,0.0
2010-01-29,0.0
2010-02-01,33.3333
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,-25.0
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,0.0
2010-02-17,0.0
2010-02-18,66.6667
2010-02-19,-40.0
2010-02-22,0.0
2010-02-23,0.0
2010-02-26,0.0
2010-03-01,0.0
2010-03-02,0.0
2010-03-05,0.0
2010-03-08,0.0
2010-03-10,50.0
2010-03-11,-29.1667
2010-03-15,0.0
2010-03-16,25.4902
2010-03-17,0.0
2010-03-18,-20.3125
2010-03-19,0.0
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,-5.8824
2010-03-25,0.0
2010-03-26,0.0
2010-03-31,0.0
2010-04-01,0.0
2010-04-05,0.0
2010-04-06,0.0
2010-04-07,0.0
2010-04-12,0.0
2010-04-14,0.0
2010-04-15,33.3333
2010-04-16,0.0
2010-04-19,-25.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-26,-33.3333
2010-04-27,0.0
2010-04-28,0.0
2010-04-30,0.0
2010-05-03,0.0
2010-05-05,0.0
2010-05-06,0.0
2010-05-07,-25.0
2010-05-10,0.0
2010-05-11,0.0
2010-05-13,0.0
2010-05-17,0.0
2010-05-20,0.0
2010-05-21,0.0
2010-05-24,-33.3333
2010-05-25,-31.25
2010-05-27,45.4545
2010-05-28,-50.0
2010-06-08,337.5
2010-06-09,-8.5714
2010-06-10,0.0
2010-06-14,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-24,-15.625
2010-06-25,18.5185
2010-06-29,0.0
2010-07-01,0.0
2010-07-06,-40.625
2010-07-13,0.0
2010-07-15,0.0
2010-07-16,0.0
2010-07-22,0.0
2010-07-29,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0
2010-08-09,0.0
2010-08-10,0.0
2010-08-12,0.0
2010-08-23,0.0
2010-08-25,-57.8947
2010-08-27,0.0
2010-09-01,0.0
2010-09-08,0.0
2010-09-10,0.0
2010-09-13,0.0
2010-09-14,0.0
2010-09-16,0.0
2010-09-23,0.0
2010-09-27,0.0
2010-09-29,0.0
2010-09-30,0.0
2010-10-06,700.0
2010-10-07,-25.0
2010-10-08,-83.3333
2010-10-14,0.0
2010-10-15,0.0
2010-10-18,0.0
2010-10-20,0.0
2010-10-21,0.0
2010-10-22,0.0
2010-10-25,0.0
2010-10-26,0.0
2010-11-02,0.0
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,0.0
2010-11-08,0.0
2010-11-09,0.0
2010-11-10,0.0
2010-11-11,0.0
2010-11-12,0.0
2010-11-16,0.0
2010-11-18,0.0
2010-11-22,0.0
2010-11-23,0.0
2010-11-24,0.0
2010-11-30,0.0
2010-12-01,0.0
2010-12-03,0.0
2010-12-07,0.0
2010-12-08,0.0
2010-12-10,0.0
2010-12-13,0.0
2010-12-14,0.0
2010-12-15,0.0
2010-12-17,0.0
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,0.0
2010-12-23,0.0
2010-12-27,0.0
2010-12-29,0.0
