ticker,BHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-13,0.9905
2016-07-14,0.3121
2016-07-15,0.4444
2016-07-18,-0.0442
2016-07-19,-0.6197
2016-07-20,1.4254
2016-07-21,0.527
2016-07-22,1.4417
2016-07-25,2.0672
2016-07-26,-0.8017
2016-07-27,0.9783
2016-07-28,-0.5055
2016-07-29,-0.7621
2016-08-01,0.8532
2016-08-02,-1.5651000000000002
2016-08-03,1.0743
2016-08-04,-0.1276
2016-08-05,1.6602999999999999
2016-08-08,0.335
2016-08-09,1.0017
2016-08-10,-0.5372
2016-08-11,0.1662
2016-08-12,0.4148
2016-08-15,0.6196
2016-08-16,-1.0673
2016-08-17,0.249
2016-08-18,-0.0414
2016-08-19,-0.0828
2016-08-22,0.2901
2016-08-23,0.0826
2016-08-24,0.7019
2016-08-25,0.082
2016-08-26,-0.6964
2016-08-29,0.33
2016-08-30,0.1234
2016-08-31,-0.9446
2016-09-01,0.995
2016-09-02,0.2053
2016-09-06,-0.9832
2016-09-07,1.1171
2016-09-08,-0.1227
2016-09-09,-2.8677
2016-09-12,0.8013
2016-09-13,0.0
2016-09-14,-0.3347
2016-09-15,3.2326
2016-09-16,-2.684
2016-09-19,1.7969
2016-09-20,-0.2053
2016-09-21,1.7688000000000001
2016-09-22,1.3338999999999999
2016-09-23,-1.1966
2016-09-26,0.1615
2016-09-27,0.927
2016-09-28,-0.9185
2016-09-29,-0.9674
2016-09-30,1.5466
2016-10-03,-0.2806
2016-10-04,-0.3215
2016-10-05,1.371
2016-10-06,1.3126
2016-10-07,-1.0601
2016-10-10,2.0238
2016-10-11,-1.6336
2016-10-12,-0.3954
2016-10-13,-1.1513
2016-10-14,-0.2811
2016-10-17,1.2888
2016-10-18,0.5964
2016-10-19,-1.1858
2016-10-20,-0.4
2016-10-21,1.8072
2016-10-24,1.9724
2016-10-25,-2.3211
2016-10-26,0.5941
2016-10-27,-0.9843
2016-10-28,-0.5964
2016-10-31,0.6
2016-11-01,-0.3976
2016-11-02,0.0
2016-11-03,-0.1996
2016-11-04,0.8
2016-11-07,2.1825
2016-11-08,0.0
2016-11-09,2.5243
2016-11-10,0.947
2016-11-11,1.8761999999999999
2016-11-14,0.1842
2016-11-15,0.3676
2016-11-16,0.1832
2016-11-17,0.9141
2016-11-18,0.5435
2016-11-21,0.0
2016-11-22,1.2612999999999999
2016-11-23,1.6014
2016-11-25,0.1751
2016-11-28,0.3497
2016-11-29,0.5226
2016-11-30,-1.7330999999999999
2016-12-01,-2.2928
2016-12-02,2.3466
2016-12-05,2.4691
2016-12-06,0.3442
2016-12-07,0.1715
2016-12-08,1.1985999999999999
2016-12-09,0.1692
2016-12-12,0.0
2016-12-13,-0.3378
2016-12-14,-0.1695
2016-12-15,1.528
2016-12-16,-0.6689
2016-12-19,0.8418
2016-12-20,1.8364
2016-12-21,0.6557
2016-12-22,-0.3257
2016-12-23,0.4902
2016-12-27,1.1381999999999999
2016-12-28,-1.1254
2016-12-29,0.4878
2016-12-30,-1.2945
2017-01-03,0.8197
2017-01-04,0.813
2017-01-05,-1.2903
2017-01-06,-0.3268
2017-01-09,-1.1475
2017-01-10,2.6534
2017-01-11,0.3231
2017-01-12,-0.3221
2017-01-13,-0.4847
2017-01-17,-2.2727
2017-01-18,0.3322
2017-01-19,-1.6556
2017-01-20,1.1785
2017-01-23,-0.3328
2017-01-24,1.0017
2017-01-25,1.3223
2017-01-26,-0.1631
2017-01-27,0.3268
2017-01-30,-0.4886
2017-01-31,0.1637
2017-02-01,0.6536
2017-02-02,-0.974
2017-02-03,1.3115
2017-02-06,-1.2945
2017-02-07,-0.4918
2017-02-08,1.4827
2017-02-09,6.3312
2017-02-10,-2.2901
2017-02-13,0.4688
2017-02-14,0.7776
2017-02-15,1.5432000000000001
2017-02-16,-0.4559
2017-02-17,-0.458
2017-02-21,0.0
2017-02-22,-0.1534
2017-02-23,-0.6144
2017-02-24,-0.6182
2017-02-27,-0.4666
2017-02-28,-2.8125
2017-03-01,2.4116
2017-03-02,-0.6279
2017-03-03,-0.7899
2017-03-06,-1.4331
2017-03-07,0.6462
2017-03-08,0.0
2017-03-09,-0.4815
2017-03-10,-0.4839
2017-03-13,0.4862
2017-03-14,1.7742
2017-03-15,1.2678
2017-03-16,1.252
2017-03-17,1.2365
