,date,return_direction,prediction
1428,2011-09-02,0,0.6109009229489398
1429,2011-09-06,0,0.6109009229489398
1430,2011-09-07,1,0.6109009229489398
1431,2011-09-08,0,0.6109009229489398
1432,2011-09-09,0,0.6109009229489398
1433,2011-09-12,1,0.6109009229489398
1434,2011-09-13,1,0.6109009229489398
1435,2011-09-14,1,0.6109009229489398
1436,2011-09-15,1,0.6109009229489398
1437,2011-09-16,1,0.6109009229489398
1438,2011-09-19,0,0.6109009229489398
1439,2011-09-20,0,0.6109009229489398
1440,2011-09-21,0,0.6109009229489398
1441,2011-09-22,0,0.6109009229489398
1442,2011-09-23,1,0.6109009229489398
1443,2011-09-26,1,0.6109009229489398
1444,2011-09-27,1,0.6109009229489398
1445,2011-09-28,0,0.6109009229489398
1446,2011-09-29,0,0.6109009229489398
1447,2011-09-30,0,0.6109009229489398
1448,2011-10-03,0,0.6109009229489398
1449,2011-10-04,1,0.6109009229489398
1450,2011-10-05,1,0.6109009229489398
1451,2011-10-06,1,0.6109009229489398
1452,2011-10-07,0,0.6109009229489398
1453,2011-10-10,1,0.6109009229489398
1454,2011-10-11,1,0.6109009229489398
1455,2011-10-12,1,0.6109009229489398
1456,2011-10-13,0,0.6109009229489398
1457,2011-10-14,1,0.6109009229489398
1458,2011-10-17,0,0.6109009229489398
1459,2011-10-18,1,0.6109009229489398
1460,2011-10-19,0,0.6109009229489398
1461,2011-10-20,1,0.6109009229489398
1462,2011-10-21,1,0.6109009229489398
1463,2011-10-24,1,0.6109009229489398
1464,2011-10-25,0,0.6109009229489398
1465,2011-10-26,1,0.6109009229489398
1466,2011-10-27,1,0.6109009229489398
1467,2011-10-28,0,0.6109009229489398
1468,2011-10-31,0,0.6109009229489398
1469,2011-11-01,0,0.6109009229489398
1470,2011-11-02,1,0.6109009229489398
1471,2011-11-03,1,0.6109009229489398
1472,2011-11-04,0,0.6109009229489398
1473,2011-11-07,0,0.6109009229489398
1474,2011-11-08,1,0.6109009229489398
1475,2011-11-09,0,0.6109009229489398
1476,2011-11-10,1,0.6109009229489398
1477,2011-11-11,1,0.6109009229489398
1478,2011-11-14,0,0.6109009229489398
1479,2011-11-15,1,0.6109009229489398
1480,2011-11-16,0,0.6109009229489398
1481,2011-11-17,0,0.6109009229489398
